"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RVRiskPercent","MORiskPercent","PortfolioOpenRiskPercent","StopRule"
"11","mre_mo020_center","3","center","rc2_momentum_risk_extension_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\011_mre_mo020_center_recent_2023_2026_m1.ini","mre_mo020_center_recent_2023_2026_m1","profiles\mre_mo020_center.set","20E8DEB7EF688EB368256908A8CA69F7C353793FD5EEEA3F16C995C918AB3C7A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.20","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"12","mre_mo020_center","3","center","rc2_momentum_risk_extension_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\012_mre_mo020_center_continuous_2015_2026_m1.ini","mre_mo020_center_continuous_2015_2026_m1","profiles\mre_mo020_center.set","20E8DEB7EF688EB368256908A8CA69F7C353793FD5EEEA3F16C995C918AB3C7A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.20","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"13","mre_mo0225","4","upper_neighbor","rc2_momentum_risk_extension_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_mre_mo0225_older_2015_2018_m1.ini","mre_mo0225_older_2015_2018_m1","profiles\mre_mo0225.set","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.225","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"14","mre_mo0225","4","upper_neighbor","rc2_momentum_risk_extension_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\014_mre_mo0225_middle_2019_2022_m1.ini","mre_mo0225_middle_2019_2022_m1","profiles\mre_mo0225.set","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.225","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"15","mre_mo0225","4","upper_neighbor","rc2_momentum_risk_extension_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\015_mre_mo0225_recent_2023_2026_m1.ini","mre_mo0225_recent_2023_2026_m1","profiles\mre_mo0225.set","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.225","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"16","mre_mo0225","4","upper_neighbor","rc2_momentum_risk_extension_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\016_mre_mo0225_continuous_2015_2026_m1.ini","mre_mo0225_continuous_2015_2026_m1","profiles\mre_mo0225.set","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.225","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"17","mre_mo025","5","shape","rc2_momentum_risk_extension_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\017_mre_mo025_older_2015_2018_m1.ini","mre_mo025_older_2015_2018_m1","profiles\mre_mo025.set","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.25","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"18","mre_mo025","5","shape","rc2_momentum_risk_extension_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\018_mre_mo025_middle_2019_2022_m1.ini","mre_mo025_middle_2019_2022_m1","profiles\mre_mo025.set","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.25","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"19","mre_mo025","5","shape","rc2_momentum_risk_extension_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\019_mre_mo025_recent_2023_2026_m1.ini","mre_mo025_recent_2023_2026_m1","profiles\mre_mo025.set","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.25","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"20","mre_mo025","5","shape","rc2_momentum_risk_extension_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\020_mre_mo025_continuous_2015_2026_m1.ini","mre_mo025_continuous_2015_2026_m1","profiles\mre_mo025.set","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.25","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"21","mre_mo0275","6","shape","rc2_momentum_risk_extension_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\021_mre_mo0275_older_2015_2018_m1.ini","mre_mo0275_older_2015_2018_m1","profiles\mre_mo0275.set","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.275","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"22","mre_mo0275","6","shape","rc2_momentum_risk_extension_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\022_mre_mo0275_middle_2019_2022_m1.ini","mre_mo0275_middle_2019_2022_m1","profiles\mre_mo0275.set","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.275","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"23","mre_mo0275","6","shape","rc2_momentum_risk_extension_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\023_mre_mo0275_recent_2023_2026_m1.ini","mre_mo0275_recent_2023_2026_m1","profiles\mre_mo0275.set","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.275","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"24","mre_mo0275","6","shape","rc2_momentum_risk_extension_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\024_mre_mo0275_continuous_2015_2026_m1.ini","mre_mo0275_continuous_2015_2026_m1","profiles\mre_mo0275.set","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.275","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"25","mre_mo030","7","cap_boundary","rc2_momentum_risk_extension_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_mre_mo030_older_2015_2018_m1.ini","mre_mo030_older_2015_2018_m1","profiles\mre_mo030.set","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.30","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"26","mre_mo030","7","cap_boundary","rc2_momentum_risk_extension_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\026_mre_mo030_middle_2019_2022_m1.ini","mre_mo030_middle_2019_2022_m1","profiles\mre_mo030.set","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.30","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"27","mre_mo030","7","cap_boundary","rc2_momentum_risk_extension_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\027_mre_mo030_recent_2023_2026_m1.ini","mre_mo030_recent_2023_2026_m1","profiles\mre_mo030.set","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.30","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"28","mre_mo030","7","cap_boundary","rc2_momentum_risk_extension_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\028_mre_mo030_continuous_2015_2026_m1.ini","mre_mo030_continuous_2015_2026_m1","profiles\mre_mo030.set","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.30","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
