"QueueRank","Candidate","CandidateRank","Role","SourceType","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RunLabel","LiquidityLookbackBars","MinimumBodyPercent","UsePostLossQuarantine","PostLossQuarantineDays","RiskPercent","EntryStartHour","EntryEndHour","StopRule"
"11","tlr_q07","3","quarantine_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\011_tlr_q07_repair_2020_m1.ini","tlr_q07_repair_2020_m1","profiles\tlr_q07.set","EBE2468B330C2F508116A146961070799F734684158AD76411A9DD83B15D11B6","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","7","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"12","tlr_q07","3","quarantine_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_tlr_q07_continuous_2015_2020_m1.ini","tlr_q07_continuous_2015_2020_m1","profiles\tlr_q07.set","EBE2468B330C2F508116A146961070799F734684158AD76411A9DD83B15D11B6","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","7","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"13","tlr_q21","4","quarantine_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_tlr_q21_older_2015_2018_m1.ini","tlr_q21_older_2015_2018_m1","profiles\tlr_q21.set","AD429CB88A011C2AF32912E0FD1B96131E0233E2896B20E397B8EA66655AAF2C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","21","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"14","tlr_q21","4","quarantine_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\014_tlr_q21_repair_2019_m1.ini","tlr_q21_repair_2019_m1","profiles\tlr_q21.set","AD429CB88A011C2AF32912E0FD1B96131E0233E2896B20E397B8EA66655AAF2C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","21","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"15","tlr_q21","4","quarantine_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\015_tlr_q21_repair_2020_m1.ini","tlr_q21_repair_2020_m1","profiles\tlr_q21.set","AD429CB88A011C2AF32912E0FD1B96131E0233E2896B20E397B8EA66655AAF2C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","21","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"16","tlr_q21","4","quarantine_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\016_tlr_q21_continuous_2015_2020_m1.ini","tlr_q21_continuous_2015_2020_m1","profiles\tlr_q21.set","AD429CB88A011C2AF32912E0FD1B96131E0233E2896B20E397B8EA66655AAF2C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","21","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"17","tlr_body30","5","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\017_tlr_body30_older_2015_2018_m1.ini","tlr_body30_older_2015_2018_m1","profiles\tlr_body30.set","4895B9DF34E1D8292DBE31825C6C11EE0131A2FD6F16E1A4D4919693023C5360","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","30.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"18","tlr_body30","5","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\018_tlr_body30_repair_2019_m1.ini","tlr_body30_repair_2019_m1","profiles\tlr_body30.set","4895B9DF34E1D8292DBE31825C6C11EE0131A2FD6F16E1A4D4919693023C5360","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","30.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"19","tlr_body30","5","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\019_tlr_body30_repair_2020_m1.ini","tlr_body30_repair_2020_m1","profiles\tlr_body30.set","4895B9DF34E1D8292DBE31825C6C11EE0131A2FD6F16E1A4D4919693023C5360","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","30.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"20","tlr_body30","5","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\020_tlr_body30_continuous_2015_2020_m1.ini","tlr_body30_continuous_2015_2020_m1","profiles\tlr_body30.set","4895B9DF34E1D8292DBE31825C6C11EE0131A2FD6F16E1A4D4919693023C5360","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","30.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"21","tlr_lookback08","6","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\021_tlr_lookback08_older_2015_2018_m1.ini","tlr_lookback08_older_2015_2018_m1","profiles\tlr_lookback08.set","55D7E95BE26CB65C6804549003050DDCA14B793001CB184474CB4FEDEC97504A","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","8","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"22","tlr_lookback08","6","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\022_tlr_lookback08_repair_2019_m1.ini","tlr_lookback08_repair_2019_m1","profiles\tlr_lookback08.set","55D7E95BE26CB65C6804549003050DDCA14B793001CB184474CB4FEDEC97504A","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","8","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"23","tlr_lookback08","6","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\023_tlr_lookback08_repair_2020_m1.ini","tlr_lookback08_repair_2020_m1","profiles\tlr_lookback08.set","55D7E95BE26CB65C6804549003050DDCA14B793001CB184474CB4FEDEC97504A","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","8","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"24","tlr_lookback08","6","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_tlr_lookback08_continuous_2015_2020_m1.ini","tlr_lookback08_continuous_2015_2020_m1","profiles\tlr_lookback08.set","55D7E95BE26CB65C6804549003050DDCA14B793001CB184474CB4FEDEC97504A","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","8","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"25","tlr_lookback20","7","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_tlr_lookback20_older_2015_2018_m1.ini","tlr_lookback20_older_2015_2018_m1","profiles\tlr_lookback20.set","BA584CEB4366EC45DAA198BAA6F58793F0128C7C54B23DD7CF337B8A617CC51C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","20","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"26","tlr_lookback20","7","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\026_tlr_lookback20_repair_2019_m1.ini","tlr_lookback20_repair_2019_m1","profiles\tlr_lookback20.set","BA584CEB4366EC45DAA198BAA6F58793F0128C7C54B23DD7CF337B8A617CC51C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","20","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"27","tlr_lookback20","7","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\027_tlr_lookback20_repair_2020_m1.ini","tlr_lookback20_repair_2020_m1","profiles\tlr_lookback20.set","BA584CEB4366EC45DAA198BAA6F58793F0128C7C54B23DD7CF337B8A617CC51C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","20","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"28","tlr_lookback20","7","structural_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\028_tlr_lookback20_continuous_2015_2020_m1.ini","tlr_lookback20_continuous_2015_2020_m1","profiles\tlr_lookback20.set","BA584CEB4366EC45DAA198BAA6F58793F0128C7C54B23DD7CF337B8A617CC51C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","20","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
