"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","MinimumInsideRangeRatio","MaximumInsideRangeRatio","BreakoutBufferATR","MinimumBodyPercent","MinimumVolumeRatio","EMAFilter","ADXFilter","TakeProfitR","StopRule"
"24","idb_buffer010","6","independent_m15_inside_day_breakout","1","discovery_model1","idb_buffer010.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_idb_buffer010_older_2015_2018_m1.ini","idb_buffer010_older_2015_2018_m1","profiles\idb_buffer010.set","146FAF4C090D1B84AEA7C3690EE48E922F934C1A2B02655CC38F942052D1797D","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.10","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"25","idb_buffer010","6","independent_m15_inside_day_breakout","1","discovery_model1","idb_buffer010.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_idb_buffer010_discovery_2019_2020_m1.ini","idb_buffer010_discovery_2019_2020_m1","profiles\idb_buffer010.set","146FAF4C090D1B84AEA7C3690EE48E922F934C1A2B02655CC38F942052D1797D","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.10","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"27","idb_buffer010","6","independent_m15_inside_day_breakout","1","discovery_model1","idb_buffer010.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_idb_buffer010_continuous_2015_2020_m1.ini","idb_buffer010_continuous_2015_2020_m1","profiles\idb_buffer010.set","146FAF4C090D1B84AEA7C3690EE48E922F934C1A2B02655CC38F942052D1797D","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.10","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"28","idb_body30","7","independent_m15_inside_day_breakout","1","discovery_model1","idb_body30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_idb_body30_older_2015_2018_m1.ini","idb_body30_older_2015_2018_m1","profiles\idb_body30.set","584EFC6E0FEE9B1BC08A84EFA28530423338B72D5A564C1BEBA50F883FC2AEE1","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","30.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"30","idb_body30","7","independent_m15_inside_day_breakout","1","discovery_model1","idb_body30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_idb_body30_discovery_2019_2020_m1.ini","idb_body30_discovery_2019_2020_m1","profiles\idb_body30.set","584EFC6E0FEE9B1BC08A84EFA28530423338B72D5A564C1BEBA50F883FC2AEE1","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","30.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"31","idb_body30","7","independent_m15_inside_day_breakout","1","discovery_model1","idb_body30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_idb_body30_continuous_2015_2020_m1.ini","idb_body30_continuous_2015_2020_m1","profiles\idb_body30.set","584EFC6E0FEE9B1BC08A84EFA28530423338B72D5A564C1BEBA50F883FC2AEE1","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","30.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"33","idb_body50","8","independent_m15_inside_day_breakout","1","discovery_model1","idb_body50.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_idb_body50_older_2015_2018_m1.ini","idb_body50_older_2015_2018_m1","profiles\idb_body50.set","9DAD331B507FF7A78214FAE4774B9ECA67F6E19FB29F556D9C200C0B31C39C7A","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","50.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"34","idb_body50","8","independent_m15_inside_day_breakout","1","discovery_model1","idb_body50.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_idb_body50_discovery_2019_2020_m1.ini","idb_body50_discovery_2019_2020_m1","profiles\idb_body50.set","9DAD331B507FF7A78214FAE4774B9ECA67F6E19FB29F556D9C200C0B31C39C7A","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","50.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"36","idb_body50","8","independent_m15_inside_day_breakout","1","discovery_model1","idb_body50.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_idb_body50_continuous_2015_2020_m1.ini","idb_body50_continuous_2015_2020_m1","profiles\idb_body50.set","9DAD331B507FF7A78214FAE4774B9ECA67F6E19FB29F556D9C200C0B31C39C7A","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","50.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"37","idb_vol000","9","independent_m15_inside_day_breakout","1","discovery_model1","idb_vol000.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_idb_vol000_older_2015_2018_m1.ini","idb_vol000_older_2015_2018_m1","profiles\idb_vol000.set","3C582DCB7A4AE7128C1A15411DB2BB1D263A6374526A464EEC4196A5D837B72E","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","0.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"39","idb_vol000","9","independent_m15_inside_day_breakout","1","discovery_model1","idb_vol000.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_idb_vol000_discovery_2019_2020_m1.ini","idb_vol000_discovery_2019_2020_m1","profiles\idb_vol000.set","3C582DCB7A4AE7128C1A15411DB2BB1D263A6374526A464EEC4196A5D837B72E","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","0.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"40","idb_vol000","9","independent_m15_inside_day_breakout","1","discovery_model1","idb_vol000.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_idb_vol000_continuous_2015_2020_m1.ini","idb_vol000_continuous_2015_2020_m1","profiles\idb_vol000.set","3C582DCB7A4AE7128C1A15411DB2BB1D263A6374526A464EEC4196A5D837B72E","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","0.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"42","idb_vol115","10","independent_m15_inside_day_breakout","1","discovery_model1","idb_vol115.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_idb_vol115_older_2015_2018_m1.ini","idb_vol115_older_2015_2018_m1","profiles\idb_vol115.set","7D95D7203F4FC76ADE1EBCA2EE4BD35F439E087C9FCC4B74FC6AF3BAF5C36F9C","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.15","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"43","idb_vol115","10","independent_m15_inside_day_breakout","1","discovery_model1","idb_vol115.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_idb_vol115_discovery_2019_2020_m1.ini","idb_vol115_discovery_2019_2020_m1","profiles\idb_vol115.set","7D95D7203F4FC76ADE1EBCA2EE4BD35F439E087C9FCC4B74FC6AF3BAF5C36F9C","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.15","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"45","idb_vol115","10","independent_m15_inside_day_breakout","1","discovery_model1","idb_vol115.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_idb_vol115_continuous_2015_2020_m1.ini","idb_vol115_continuous_2015_2020_m1","profiles\idb_vol115.set","7D95D7203F4FC76ADE1EBCA2EE4BD35F439E087C9FCC4B74FC6AF3BAF5C36F9C","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.15","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"46","idb_noema","11","independent_m15_inside_day_breakout","1","discovery_model1","idb_noema.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\031_idb_noema_older_2015_2018_m1.ini","idb_noema_older_2015_2018_m1","profiles\idb_noema.set","FEF9906572BF09072C7EA7659E45D844B63E9E7B86F318FCB36B557FE985CD5B","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","false","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"48","idb_noema","11","independent_m15_inside_day_breakout","1","discovery_model1","idb_noema.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\032_idb_noema_discovery_2019_2020_m1.ini","idb_noema_discovery_2019_2020_m1","profiles\idb_noema.set","FEF9906572BF09072C7EA7659E45D844B63E9E7B86F318FCB36B557FE985CD5B","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","false","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"49","idb_noema","11","independent_m15_inside_day_breakout","1","discovery_model1","idb_noema.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\033_idb_noema_continuous_2015_2020_m1.ini","idb_noema_continuous_2015_2020_m1","profiles\idb_noema.set","FEF9906572BF09072C7EA7659E45D844B63E9E7B86F318FCB36B557FE985CD5B","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","false","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"51","idb_adx16","12","independent_m15_inside_day_breakout","1","discovery_model1","idb_adx16.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\034_idb_adx16_older_2015_2018_m1.ini","idb_adx16_older_2015_2018_m1","profiles\idb_adx16.set","DFF906F7474A8C091022740CA5BB547975C585299CC0B67AEB263642420FD441","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","true","true","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"52","idb_adx16","12","independent_m15_inside_day_breakout","1","discovery_model1","idb_adx16.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\035_idb_adx16_discovery_2019_2020_m1.ini","idb_adx16_discovery_2019_2020_m1","profiles\idb_adx16.set","DFF906F7474A8C091022740CA5BB547975C585299CC0B67AEB263642420FD441","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","true","true","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"54","idb_adx16","12","independent_m15_inside_day_breakout","1","discovery_model1","idb_adx16.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_idb_adx16_continuous_2015_2020_m1.ini","idb_adx16_continuous_2015_2020_m1","profiles\idb_adx16.set","DFF906F7474A8C091022740CA5BB547975C585299CC0B67AEB263642420FD441","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","true","true","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"55","idb_tp150","13","independent_m15_inside_day_breakout","1","discovery_model1","idb_tp150.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\037_idb_tp150_older_2015_2018_m1.ini","idb_tp150_older_2015_2018_m1","profiles\idb_tp150.set","9D3E20744C02AAA1AAC8534F0616EC00F1C23328511069A8EE9D8CEDAF6905BE","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","true","false","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"57","idb_tp150","13","independent_m15_inside_day_breakout","1","discovery_model1","idb_tp150.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\038_idb_tp150_discovery_2019_2020_m1.ini","idb_tp150_discovery_2019_2020_m1","profiles\idb_tp150.set","9D3E20744C02AAA1AAC8534F0616EC00F1C23328511069A8EE9D8CEDAF6905BE","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","true","false","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"58","idb_tp150","13","independent_m15_inside_day_breakout","1","discovery_model1","idb_tp150.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\039_idb_tp150_continuous_2015_2020_m1.ini","idb_tp150_continuous_2015_2020_m1","profiles\idb_tp150.set","9D3E20744C02AAA1AAC8534F0616EC00F1C23328511069A8EE9D8CEDAF6905BE","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","true","false","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
