"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Purpose"
"11","r10_loss_scale_15","11","peak_r20_oos_yearly","11","phase2_oos_yearly_model1","r10_loss_scale_15.set","2021_full","2021.01.01","2021.12.31","1","configs\011_r10_loss_scale_15_2021_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2021_full_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"12","r10_loss_scale_15","12","peak_r20_oos_yearly","12","phase2_oos_yearly_model1","r10_loss_scale_15.set","2022_full","2022.01.01","2022.12.31","1","configs\012_r10_loss_scale_15_2022_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2022_full_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"13","r10_loss_scale_15","13","peak_r20_oos_yearly","13","phase2_oos_yearly_model1","r10_loss_scale_15.set","2023_full","2023.01.01","2023.12.31","1","configs\013_r10_loss_scale_15_2023_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2023_full_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"14","r10_loss_scale_15","14","peak_r20_oos_yearly","14","phase2_oos_yearly_model1","r10_loss_scale_15.set","2024_full","2024.01.01","2024.12.31","1","configs\014_r10_loss_scale_15_2024_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2024_full_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"15","r10_loss_scale_15","15","peak_r20_oos_yearly","15","phase2_oos_yearly_model1","r10_loss_scale_15.set","2025_full","2025.01.01","2025.12.31","1","configs\015_r10_loss_scale_15_2025_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2025_full_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"16","r10_loss_scale_15","16","peak_r20_oos_yearly","16","phase2_oos_yearly_model1","r10_loss_scale_15.set","2026_ytd","2026.01.01","2026.07.12","1","configs\016_r10_loss_scale_15_2026_ytd_m1.ini","peak_r20_oos_r10_loss_scale_15_2026_ytd_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"17","r10_profit_guard40","17","peak_r20_oos_yearly","17","phase2_oos_yearly_model1","r10_profit_guard40.set","2019_full","2019.01.01","2019.12.31","1","configs\017_r10_profit_guard40_2019_full_m1.ini","peak_r20_oos_r10_profit_guard40_2019_full_m1","profiles\r10_profit_guard40.set","F267E820081290D4340CA6988993F82BC36D70741173244570064BF8C1CB76EF","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"18","r10_profit_guard40","18","peak_r20_oos_yearly","18","phase2_oos_yearly_model1","r10_profit_guard40.set","2020_full","2020.01.01","2020.12.31","1","configs\018_r10_profit_guard40_2020_full_m1.ini","peak_r20_oos_r10_profit_guard40_2020_full_m1","profiles\r10_profit_guard40.set","F267E820081290D4340CA6988993F82BC36D70741173244570064BF8C1CB76EF","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"19","r10_profit_guard40","19","peak_r20_oos_yearly","19","phase2_oos_yearly_model1","r10_profit_guard40.set","2021_full","2021.01.01","2021.12.31","1","configs\019_r10_profit_guard40_2021_full_m1.ini","peak_r20_oos_r10_profit_guard40_2021_full_m1","profiles\r10_profit_guard40.set","F267E820081290D4340CA6988993F82BC36D70741173244570064BF8C1CB76EF","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"20","r10_profit_guard40","20","peak_r20_oos_yearly","20","phase2_oos_yearly_model1","r10_profit_guard40.set","2022_full","2022.01.01","2022.12.31","1","configs\020_r10_profit_guard40_2022_full_m1.ini","peak_r20_oos_r10_profit_guard40_2022_full_m1","profiles\r10_profit_guard40.set","F267E820081290D4340CA6988993F82BC36D70741173244570064BF8C1CB76EF","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"21","r10_profit_guard40","21","peak_r20_oos_yearly","21","phase2_oos_yearly_model1","r10_profit_guard40.set","2023_full","2023.01.01","2023.12.31","1","configs\021_r10_profit_guard40_2023_full_m1.ini","peak_r20_oos_r10_profit_guard40_2023_full_m1","profiles\r10_profit_guard40.set","F267E820081290D4340CA6988993F82BC36D70741173244570064BF8C1CB76EF","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"22","r10_profit_guard40","22","peak_r20_oos_yearly","22","phase2_oos_yearly_model1","r10_profit_guard40.set","2024_full","2024.01.01","2024.12.31","1","configs\022_r10_profit_guard40_2024_full_m1.ini","peak_r20_oos_r10_profit_guard40_2024_full_m1","profiles\r10_profit_guard40.set","F267E820081290D4340CA6988993F82BC36D70741173244570064BF8C1CB76EF","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"23","r10_profit_guard40","23","peak_r20_oos_yearly","23","phase2_oos_yearly_model1","r10_profit_guard40.set","2025_full","2025.01.01","2025.12.31","1","configs\023_r10_profit_guard40_2025_full_m1.ini","peak_r20_oos_r10_profit_guard40_2025_full_m1","profiles\r10_profit_guard40.set","F267E820081290D4340CA6988993F82BC36D70741173244570064BF8C1CB76EF","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"24","r10_profit_guard40","24","peak_r20_oos_yearly","24","phase2_oos_yearly_model1","r10_profit_guard40.set","2026_ytd","2026.01.01","2026.07.12","1","configs\024_r10_profit_guard40_2026_ytd_m1.ini","peak_r20_oos_r10_profit_guard40_2026_ytd_m1","profiles\r10_profit_guard40.set","F267E820081290D4340CA6988993F82BC36D70741173244570064BF8C1CB76EF","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
