"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","FeatureEnabled","RatchetTriggerR","RatchetLockR","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"11","mpr_trigger175","4","upper_trigger","momentum_profit_ratchet_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.75","0.75","0.75","mpr_trigger175_discovery_2019_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\011_mpr_trigger175_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\011_mpr_trigger175_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_trigger175_discovery_2019_2020_m1","95EF0944A27E4D55EB306C1CB1656B473082BC46648B02E9EC6727CBE5701DDE","DC80B23EC9B9DC17474EAFB24BB859C69A25C0E96C49D7F6D7981420AD0EF273","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"12","mpr_trigger175","4","upper_trigger","momentum_profit_ratchet_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.75","0.75","0.75","mpr_trigger175_continuous_2015_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\012_mpr_trigger175_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\012_mpr_trigger175_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_trigger175_continuous_2015_2020_m1","91BF89755B86296B7BFB4D35A938B9645F30D0275FE13B962A5F916CCF2FCE7D","DC80B23EC9B9DC17474EAFB24BB859C69A25C0E96C49D7F6D7981420AD0EF273","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"13","mpr_lock050","5","lower_lock","momentum_profit_ratchet_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","1.50","0.50","0.75","mpr_lock050_discovery_2015_2018_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\013_mpr_lock050_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\013_mpr_lock050_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_lock050_discovery_2015_2018_m1","AEBC21D5A9121C98B7A7F1DADD51B889A5D3DDE01752FA419B6BF066D7C38518","FF900D9649D9B03F6E1C72DF42775F09977C8CBC5D39D722C1FF550133E9D4F8","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"14","mpr_lock050","5","lower_lock","momentum_profit_ratchet_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.50","0.50","0.75","mpr_lock050_discovery_2019_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\014_mpr_lock050_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\014_mpr_lock050_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_lock050_discovery_2019_2020_m1","C98EF90111CEA8631C5F35801A6AF03F68E61702F3B66C0254B46408C012CE24","FF900D9649D9B03F6E1C72DF42775F09977C8CBC5D39D722C1FF550133E9D4F8","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"15","mpr_lock050","5","lower_lock","momentum_profit_ratchet_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.50","0.50","0.75","mpr_lock050_continuous_2015_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\015_mpr_lock050_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\015_mpr_lock050_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_lock050_continuous_2015_2020_m1","5884191FBC60E254C4D119E6868ECC047A559F44AB1D6169B0CE43303F32544D","FF900D9649D9B03F6E1C72DF42775F09977C8CBC5D39D722C1FF550133E9D4F8","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"16","mpr_lock100","6","upper_lock","momentum_profit_ratchet_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","1.50","1.00","0.75","mpr_lock100_discovery_2015_2018_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\016_mpr_lock100_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\016_mpr_lock100_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_lock100_discovery_2015_2018_m1","4D062B754B806724A43E7D1CF4DBD372662B42E1EDA5E86B19FDB8748D902343","089D8EEEE2A3C7103C1064D192ADAFDFA03BC44C1C172F55A79D8CD4BEBD7755","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"17","mpr_lock100","6","upper_lock","momentum_profit_ratchet_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.50","1.00","0.75","mpr_lock100_discovery_2019_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\017_mpr_lock100_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\017_mpr_lock100_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_lock100_discovery_2019_2020_m1","B0E8962B515E1475453FDB3170F61C3DCB89E2FC1646C53DCE11F6BA4740619F","089D8EEEE2A3C7103C1064D192ADAFDFA03BC44C1C172F55A79D8CD4BEBD7755","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"18","mpr_lock100","6","upper_lock","momentum_profit_ratchet_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.50","1.00","0.75","mpr_lock100_continuous_2015_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\018_mpr_lock100_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\018_mpr_lock100_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_lock100_continuous_2015_2020_m1","DCDE278BB2A4C57DB1C72F6C601EC3061E30866307CE9F470A64233103790AE8","089D8EEEE2A3C7103C1064D192ADAFDFA03BC44C1C172F55A79D8CD4BEBD7755","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"19","mpr_conservative","7","conservative_corner","momentum_profit_ratchet_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","1.75","0.50","0.75","mpr_conservative_discovery_2015_2018_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\019_mpr_conservative_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\019_mpr_conservative_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_conservative_discovery_2015_2018_m1","4A97DAD9655ACE1F18E1B6F5F618380A499697724A029D9D05D96EEEB2867BD5","802F6E41B817045922214477F293041ED98195E673A6533E1ACB063ECA5BF4EB","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"20","mpr_conservative","7","conservative_corner","momentum_profit_ratchet_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.75","0.50","0.75","mpr_conservative_discovery_2019_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\020_mpr_conservative_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\020_mpr_conservative_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_conservative_discovery_2019_2020_m1","CFBED221A4B2536DBD8DBAAD351103187905C4E049E4B195246C060847F7A3B9","802F6E41B817045922214477F293041ED98195E673A6533E1ACB063ECA5BF4EB","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"21","mpr_conservative","7","conservative_corner","momentum_profit_ratchet_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.75","0.50","0.75","mpr_conservative_continuous_2015_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\021_mpr_conservative_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\021_mpr_conservative_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_conservative_continuous_2015_2020_m1","F6374A6BB6A6DA9CF0B2E440F2F71F19A872785B44AA06D8DAF936A7D962A6D6","802F6E41B817045922214477F293041ED98195E673A6533E1ACB063ECA5BF4EB","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"22","mpr_aggressive","8","aggressive_corner","momentum_profit_ratchet_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","1.25","1.00","0.75","mpr_aggressive_discovery_2015_2018_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\022_mpr_aggressive_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\022_mpr_aggressive_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_aggressive_discovery_2015_2018_m1","D8359A2DAF3F0FC9ABAB1730C8915CF9201A4025E2F1276675575DA43BEC61E6","408B7514F344B9538A244000CE86A0D3208B0BC28EEFBB069056F52069B83CC7","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"23","mpr_aggressive","8","aggressive_corner","momentum_profit_ratchet_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.25","1.00","0.75","mpr_aggressive_discovery_2019_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\023_mpr_aggressive_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\023_mpr_aggressive_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_aggressive_discovery_2019_2020_m1","6BBC25CCEB6DB6D6C7AF7C61A45975480DB6972F5C8CB58C0B425931681F2832","408B7514F344B9538A244000CE86A0D3208B0BC28EEFBB069056F52069B83CC7","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
