"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","FeatureEnabled","MinimumBodyRatio","MinimumCloseLocation","StrongTakeProfitR","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"11","sbte_target350","4","upper_target","strong_breakout_target_extension_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.75","3.50","0.75","sbte_target350_discovery_2019_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\011_sbte_target350_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\011_sbte_target350_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_target350_discovery_2019_2020_m1","0DE4EC09CB0BE66DD5415A9B0F0F8FEB59E710F033CF9DF75CFBE4A63E772796","1242394117AF1D5486381B00A4484804206FE4C09E8B702814399CBFF82AEFE8","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"12","sbte_target350","4","upper_target","strong_breakout_target_extension_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.75","3.50","0.75","sbte_target350_continuous_2015_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\012_sbte_target350_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\012_sbte_target350_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_target350_continuous_2015_2020_m1","F912975DEC7F8373AFE840139574184538F6639B5A28EEDC7FB45F59348351D0","1242394117AF1D5486381B00A4484804206FE4C09E8B702814399CBFF82AEFE8","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"13","sbte_body045","5","lower_body","strong_breakout_target_extension_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","0.45","0.75","3.00","0.75","sbte_body045_discovery_2015_2018_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\013_sbte_body045_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\013_sbte_body045_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_body045_discovery_2015_2018_m1","D0680BD5D95E0A11B1799308CBE2CEBC5888C2FC84C79DC6783F6C8175660CE9","7614AD1D4AD1D3F76CD883C85307F9FBEB8943781EDBFDBAF7FF80AE6507C4BD","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"14","sbte_body045","5","lower_body","strong_breakout_target_extension_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.45","0.75","3.00","0.75","sbte_body045_discovery_2019_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\014_sbte_body045_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\014_sbte_body045_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_body045_discovery_2019_2020_m1","1CEB1A3AB3EC69C5C0AEB514E25CB30FB4BD4267D4D2B1C81CBAB80B4A0DF806","7614AD1D4AD1D3F76CD883C85307F9FBEB8943781EDBFDBAF7FF80AE6507C4BD","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"15","sbte_body045","5","lower_body","strong_breakout_target_extension_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.45","0.75","3.00","0.75","sbte_body045_continuous_2015_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\015_sbte_body045_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\015_sbte_body045_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_body045_continuous_2015_2020_m1","84796782DD39203A463C0A1F127ED8F0FC61935B4DEA8D3DE54F2FC54A54B700","7614AD1D4AD1D3F76CD883C85307F9FBEB8943781EDBFDBAF7FF80AE6507C4BD","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"16","sbte_body055","6","upper_body","strong_breakout_target_extension_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","0.55","0.75","3.00","0.75","sbte_body055_discovery_2015_2018_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\016_sbte_body055_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\016_sbte_body055_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_body055_discovery_2015_2018_m1","A1E07DEBF400A9F459ADD1B4ED636AA196AE361324AD2000E3F0B83158A4C07E","55BC57799D141D43E8D78D25387A494CFEDA5E5756C03D819A7F879931B808CC","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"17","sbte_body055","6","upper_body","strong_breakout_target_extension_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.55","0.75","3.00","0.75","sbte_body055_discovery_2019_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\017_sbte_body055_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\017_sbte_body055_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_body055_discovery_2019_2020_m1","29AC209B213C82096FE31632E8671CB3872018E1C5DC2875D9C47FBB5CD5A46E","55BC57799D141D43E8D78D25387A494CFEDA5E5756C03D819A7F879931B808CC","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"18","sbte_body055","6","upper_body","strong_breakout_target_extension_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.55","0.75","3.00","0.75","sbte_body055_continuous_2015_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\018_sbte_body055_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\018_sbte_body055_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_body055_continuous_2015_2020_m1","15CBC3A63D4373EB9F8A3AE9F8808A7312ACD1AC350F984D4F0CE0543AEA033C","55BC57799D141D43E8D78D25387A494CFEDA5E5756C03D819A7F879931B808CC","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"19","sbte_close070","7","lower_close","strong_breakout_target_extension_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.70","3.00","0.75","sbte_close070_discovery_2015_2018_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\019_sbte_close070_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\019_sbte_close070_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_close070_discovery_2015_2018_m1","B6F7484FB30C966A661BDAF96CF92CFBA1971388FB8164F997EE02D1A172C385","05B64123732575BAC529C9AF59FC5FCA510140E2B3878AC1463DA0FAC9961275","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"20","sbte_close070","7","lower_close","strong_breakout_target_extension_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.70","3.00","0.75","sbte_close070_discovery_2019_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\020_sbte_close070_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\020_sbte_close070_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_close070_discovery_2019_2020_m1","A592BA5147463DE268755487943D9AD467046FAC62F7373C32EC44C8D9F8E82A","05B64123732575BAC529C9AF59FC5FCA510140E2B3878AC1463DA0FAC9961275","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"21","sbte_close070","7","lower_close","strong_breakout_target_extension_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.70","3.00","0.75","sbte_close070_continuous_2015_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\021_sbte_close070_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\021_sbte_close070_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_close070_continuous_2015_2020_m1","A5C53A4583C8AB06632764E72B2041620A7356D78FA7358B22A7FC004D0CEEDB","05B64123732575BAC529C9AF59FC5FCA510140E2B3878AC1463DA0FAC9961275","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"22","sbte_close080","8","upper_close","strong_breakout_target_extension_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.80","3.00","0.75","sbte_close080_discovery_2015_2018_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\022_sbte_close080_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\022_sbte_close080_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_close080_discovery_2015_2018_m1","6F1710124965570891344AB96713EC34AB95C3394F62228E49DD4955F63FA5E1","9271CD5474F2E7F9EBF5D240505A29389B9599F4A7339EFB94941511CAC5A97C","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"23","sbte_close080","8","upper_close","strong_breakout_target_extension_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.80","3.00","0.75","sbte_close080_discovery_2019_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\023_sbte_close080_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\023_sbte_close080_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_close080_discovery_2019_2020_m1","A1AAD984A42A2BBC7011D9B36F32E0B05016476ACCC688E2264F289F1E4E1C1C","9271CD5474F2E7F9EBF5D240505A29389B9599F4A7339EFB94941511CAC5A97C","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"24","sbte_close080","8","upper_close","strong_breakout_target_extension_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.80","3.00","0.75","sbte_close080_continuous_2015_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\024_sbte_close080_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\024_sbte_close080_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_close080_continuous_2015_2020_m1","DFBE5DE950585EFE6D6D88DAC4A462ED1EA190457AFFB8AE72E6888235928904","9271CD5474F2E7F9EBF5D240505A29389B9599F4A7339EFB94941511CAC5A97C","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
