"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","PullbackLookbackBars","MinimumADX","TakeProfitR","MinimumSignalBodyPercent","RequirePriorCloseBeyondVWAP","UseSignalVolumeFilter","SessionStartHour","SessionEndHour","StopRule"
"20","m15dvc_tp150","7","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp150.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_m15dvc_tp150_discovery_2019_2020_m1.ini","m15dvc_tp150_discovery_2019_2020_m1","profiles\m15dvc_tp150.set","3B8278002C5B899D55A95A27B1FCE1248220BEF04156A4F1C236690D904020DC","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","1.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"21","m15dvc_tp150","7","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp150.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_m15dvc_tp150_continuous_2015_2020_m1.ini","m15dvc_tp150_continuous_2015_2020_m1","profiles\m15dvc_tp150.set","3B8278002C5B899D55A95A27B1FCE1248220BEF04156A4F1C236690D904020DC","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","1.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"22","m15dvc_tp250","8","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp250.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_m15dvc_tp250_older_2015_2018_m1.ini","m15dvc_tp250_older_2015_2018_m1","profiles\m15dvc_tp250.set","37DBAEAEBFE0E000432C061BBB17FCDEA766097A8C4352023BCBDCCDC514115F","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"23","m15dvc_tp250","8","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp250.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_m15dvc_tp250_discovery_2019_2020_m1.ini","m15dvc_tp250_discovery_2019_2020_m1","profiles\m15dvc_tp250.set","37DBAEAEBFE0E000432C061BBB17FCDEA766097A8C4352023BCBDCCDC514115F","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"24","m15dvc_tp250","8","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp250.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_m15dvc_tp250_continuous_2015_2020_m1.ini","m15dvc_tp250_continuous_2015_2020_m1","profiles\m15dvc_tp250.set","37DBAEAEBFE0E000432C061BBB17FCDEA766097A8C4352023BCBDCCDC514115F","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"25","m15dvc_body45","9","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_body45.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_m15dvc_body45_older_2015_2018_m1.ini","m15dvc_body45_older_2015_2018_m1","profiles\m15dvc_body45.set","5F99A32B4A73441CBD2748C78855F4D40969DB6A11221B83F2935F1F7DA22D22","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","45.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"26","m15dvc_body45","9","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_body45.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_m15dvc_body45_discovery_2019_2020_m1.ini","m15dvc_body45_discovery_2019_2020_m1","profiles\m15dvc_body45.set","5F99A32B4A73441CBD2748C78855F4D40969DB6A11221B83F2935F1F7DA22D22","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","45.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"27","m15dvc_body45","9","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_body45.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_m15dvc_body45_continuous_2015_2020_m1.ini","m15dvc_body45_continuous_2015_2020_m1","profiles\m15dvc_body45.set","5F99A32B4A73441CBD2748C78855F4D40969DB6A11221B83F2935F1F7DA22D22","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","45.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"28","m15dvc_touch_only","10","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_touch_only.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_m15dvc_touch_only_older_2015_2018_m1.ini","m15dvc_touch_only_older_2015_2018_m1","profiles\m15dvc_touch_only.set","802B14C6E457A562D17ABB740F1B95151663BF5E5A24E37AC7127FBD06F43FB9","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","false","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"29","m15dvc_touch_only","10","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_touch_only.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_m15dvc_touch_only_discovery_2019_2020_m1.ini","m15dvc_touch_only_discovery_2019_2020_m1","profiles\m15dvc_touch_only.set","802B14C6E457A562D17ABB740F1B95151663BF5E5A24E37AC7127FBD06F43FB9","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","false","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"30","m15dvc_touch_only","10","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_touch_only.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_m15dvc_touch_only_continuous_2015_2020_m1.ini","m15dvc_touch_only_continuous_2015_2020_m1","profiles\m15dvc_touch_only.set","802B14C6E457A562D17ABB740F1B95151663BF5E5A24E37AC7127FBD06F43FB9","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","false","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"31","m15dvc_volume105","11","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_volume105.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\031_m15dvc_volume105_older_2015_2018_m1.ini","m15dvc_volume105_older_2015_2018_m1","profiles\m15dvc_volume105.set","D863528B5C3179040A65CB72DE9244FB64D2702B1A9F6F6D9062AE59FAE5F725","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","true","true","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"32","m15dvc_volume105","11","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_volume105.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\032_m15dvc_volume105_discovery_2019_2020_m1.ini","m15dvc_volume105_discovery_2019_2020_m1","profiles\m15dvc_volume105.set","D863528B5C3179040A65CB72DE9244FB64D2702B1A9F6F6D9062AE59FAE5F725","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","true","true","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"33","m15dvc_volume105","11","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_volume105.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\033_m15dvc_volume105_continuous_2015_2020_m1.ini","m15dvc_volume105_continuous_2015_2020_m1","profiles\m15dvc_volume105.set","D863528B5C3179040A65CB72DE9244FB64D2702B1A9F6F6D9062AE59FAE5F725","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","true","true","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"34","m15dvc_session7_17","12","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_session7_17.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\034_m15dvc_session7_17_older_2015_2018_m1.ini","m15dvc_session7_17_older_2015_2018_m1","profiles\m15dvc_session7_17.set","DEDB886A7D7A1507A7E1186A1F09821C634DE3CB7E76D644754BE746041E0E3D","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","true","false","7","17","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"35","m15dvc_session7_17","12","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_session7_17.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\035_m15dvc_session7_17_discovery_2019_2020_m1.ini","m15dvc_session7_17_discovery_2019_2020_m1","profiles\m15dvc_session7_17.set","DEDB886A7D7A1507A7E1186A1F09821C634DE3CB7E76D644754BE746041E0E3D","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","true","false","7","17","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"36","m15dvc_session7_17","12","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_session7_17.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_m15dvc_session7_17_continuous_2015_2020_m1.ini","m15dvc_session7_17_continuous_2015_2020_m1","profiles\m15dvc_session7_17.set","DEDB886A7D7A1507A7E1186A1F09821C634DE3CB7E76D644754BE746041E0E3D","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","true","false","7","17","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
