"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","StopRule","Rationale"
"11","r10_a7_dfg_spread29","11","peak_r20_dfg_spread_yearly","11","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread29_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\011_r10_a7_dfg_spread29_2021_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread29_2021_full_m1","profiles\r10_a7_dfg_spread29_2021_full.set","9F7FDB2EBE346C35B9FA7EDA687DFC2992943F98105B627D3BBD678BE78F6C85","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 29 spread points."
"12","r10_a7_dfg_spread29","12","peak_r20_dfg_spread_yearly","12","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread29_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\012_r10_a7_dfg_spread29_2022_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread29_2022_full_m1","profiles\r10_a7_dfg_spread29_2022_full.set","71DAD2209C17D96BBD3A05C1DA1444B762C571C7B01A4F77F670096F128F5B22","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 29 spread points."
"13","r10_a7_dfg_spread29","13","peak_r20_dfg_spread_yearly","13","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread29_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\013_r10_a7_dfg_spread29_2023_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread29_2023_full_m1","profiles\r10_a7_dfg_spread29_2023_full.set","9973AC6286CF7965C32AA5A97D46336058F3B6687546C5AEC3BE27A0888C61B4","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 29 spread points."
"14","r10_a7_dfg_spread29","14","peak_r20_dfg_spread_yearly","14","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread29_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\014_r10_a7_dfg_spread29_2024_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread29_2024_full_m1","profiles\r10_a7_dfg_spread29_2024_full.set","83EA21729CA3783FCF3F2E69358952D8F7D3CA54F1A1AA433B3A2D59D854113A","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 29 spread points."
"15","r10_a7_dfg_spread29","15","peak_r20_dfg_spread_yearly","15","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread29_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\015_r10_a7_dfg_spread29_2025_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread29_2025_full_m1","profiles\r10_a7_dfg_spread29_2025_full.set","DB3C6A2D7D1F78019AE323D07AF6449479F75A819D456CD2A33F298EE14A4BD7","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 29 spread points."
"16","r10_a7_dfg_spread29","16","peak_r20_dfg_spread_yearly","16","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread29_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\016_r10_a7_dfg_spread29_2026_ytd_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread29_2026_ytd_m1","profiles\r10_a7_dfg_spread29_2026_ytd.set","CA3835D4F38D9F9C8DC13303106B56F6095807171D862B9A821109DDE06798F3","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 29 spread points."
"17","r10_a7_dfg_spread27","17","peak_r20_dfg_spread_yearly","17","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread27_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\017_r10_a7_dfg_spread27_2019_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread27_2019_full_m1","profiles\r10_a7_dfg_spread27_2019_full.set","9CB65565A133B40487778EFC096248AF6A7A9E3BCA20C4787895B212EB378C03","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 27 spread points."
"18","r10_a7_dfg_spread27","18","peak_r20_dfg_spread_yearly","18","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread27_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\018_r10_a7_dfg_spread27_2020_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread27_2020_full_m1","profiles\r10_a7_dfg_spread27_2020_full.set","33DD9D72A75C3FE936A8F2F6967E15B8457F74FCA43F705818D2A2BD89182DAF","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 27 spread points."
"19","r10_a7_dfg_spread27","19","peak_r20_dfg_spread_yearly","19","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread27_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\019_r10_a7_dfg_spread27_2021_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread27_2021_full_m1","profiles\r10_a7_dfg_spread27_2021_full.set","F3E32CBC04D657FEDA62650748810BA3333942EF2A6D401D7C2B41145C243EFC","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 27 spread points."
"20","r10_a7_dfg_spread27","20","peak_r20_dfg_spread_yearly","20","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread27_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\020_r10_a7_dfg_spread27_2022_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread27_2022_full_m1","profiles\r10_a7_dfg_spread27_2022_full.set","783FFB213403C0CAF7BCF0A581CA645AF88855A0858254B7885E0C9B7D53BF7A","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 27 spread points."
"21","r10_a7_dfg_spread27","21","peak_r20_dfg_spread_yearly","21","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread27_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\021_r10_a7_dfg_spread27_2023_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread27_2023_full_m1","profiles\r10_a7_dfg_spread27_2023_full.set","FF9C2A14298B009221DA09DCEA06B93BA191ABD31488790968E10D1B90584294","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 27 spread points."
"22","r10_a7_dfg_spread27","22","peak_r20_dfg_spread_yearly","22","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread27_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\022_r10_a7_dfg_spread27_2024_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread27_2024_full_m1","profiles\r10_a7_dfg_spread27_2024_full.set","85E98F87D74AA29C5EBD344735111DB6F4A09B755E90ED6AE5CCC88B7AB575F2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 27 spread points."
"23","r10_a7_dfg_spread27","23","peak_r20_dfg_spread_yearly","23","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread27_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\023_r10_a7_dfg_spread27_2025_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread27_2025_full_m1","profiles\r10_a7_dfg_spread27_2025_full.set","86CADC9E33E2801915721DF75490AFFDB1528DC5D0CA75364E8CCC2DA38D9645","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 27 spread points."
"24","r10_a7_dfg_spread27","24","peak_r20_dfg_spread_yearly","24","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread27_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\024_r10_a7_dfg_spread27_2026_ytd_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread27_2026_ytd_m1","profiles\r10_a7_dfg_spread27_2026_ytd.set","3C718075359AD05E9941582E5A87BDBC1634C903EA3620EE30E204CFE432DAE4","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 27 spread points."
"25","r10_a7_dfg_spread25","25","peak_r20_dfg_spread_yearly","25","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread25_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\025_r10_a7_dfg_spread25_2019_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread25_2019_full_m1","profiles\r10_a7_dfg_spread25_2019_full.set","BC83D093C6720D44E8DCA8AEEC02BEDDE3984D5098BF529672950F097487A4E2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 25 spread points."
"26","r10_a7_dfg_spread25","26","peak_r20_dfg_spread_yearly","26","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread25_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\026_r10_a7_dfg_spread25_2020_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread25_2020_full_m1","profiles\r10_a7_dfg_spread25_2020_full.set","4C7F3CA82D2A9B5204984CA55720C5C2D003D0B4DEB10D5E15EA0C0621780214","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 25 spread points."
"27","r10_a7_dfg_spread25","27","peak_r20_dfg_spread_yearly","27","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread25_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\027_r10_a7_dfg_spread25_2021_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread25_2021_full_m1","profiles\r10_a7_dfg_spread25_2021_full.set","3984CBF225A4CE45E55A62AC43212133943995B290F15D8AB562705C7A313230","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 25 spread points."
"28","r10_a7_dfg_spread25","28","peak_r20_dfg_spread_yearly","28","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread25_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\028_r10_a7_dfg_spread25_2022_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread25_2022_full_m1","profiles\r10_a7_dfg_spread25_2022_full.set","4BC0AC8CCA0A9A53566457A65D1E19F241DC71ECB5C964E1E5E187F609B77E6A","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 25 spread points."
"29","r10_a7_dfg_spread25","29","peak_r20_dfg_spread_yearly","29","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread25_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\029_r10_a7_dfg_spread25_2023_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread25_2023_full_m1","profiles\r10_a7_dfg_spread25_2023_full.set","382421ECCC29A71B0267D1F704C65CF20B3CB26B0BA68E1E1D4E81A7DC347744","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 25 spread points."
"30","r10_a7_dfg_spread25","30","peak_r20_dfg_spread_yearly","30","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread25_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\030_r10_a7_dfg_spread25_2024_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread25_2024_full_m1","profiles\r10_a7_dfg_spread25_2024_full.set","0296FBFBC0C9F2CB375D5F0C4860D802F6A44DCDFD3BB143CFA16FEE79F26ED2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 25 spread points."
"31","r10_a7_dfg_spread25","31","peak_r20_dfg_spread_yearly","31","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread25_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\031_r10_a7_dfg_spread25_2025_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread25_2025_full_m1","profiles\r10_a7_dfg_spread25_2025_full.set","BA30258B1337081D5F566E78606EC2545AD42CA5A6A010927DEF10B31FA43F36","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 25 spread points."
"32","r10_a7_dfg_spread25","32","peak_r20_dfg_spread_yearly","32","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread25_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\032_r10_a7_dfg_spread25_2026_ytd_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread25_2026_ytd_m1","profiles\r10_a7_dfg_spread25_2026_ytd.set","9B7BBADEA19FC91DD29F0345BAEF7CE1809185840CFFFC545B9FA4E919CEBA29","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 25 spread points."
"33","r10_a7_dfg_atr75","33","peak_r20_dfg_spread_yearly","33","phase6_dfg_spread_yearly_model1","r10_a7_dfg_atr75_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\033_r10_a7_dfg_atr75_2019_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_atr75_2019_full_m1","profiles\r10_a7_dfg_atr75_2019_full.set","AC6BD06237E87A43E61976BFC181E23B9CBB7781994AED3E080045A0025D63BC","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 7.5 percent spread/ATR."
"34","r10_a7_dfg_atr75","34","peak_r20_dfg_spread_yearly","34","phase6_dfg_spread_yearly_model1","r10_a7_dfg_atr75_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\034_r10_a7_dfg_atr75_2020_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_atr75_2020_full_m1","profiles\r10_a7_dfg_atr75_2020_full.set","CAA4995E6CF639C937D94F1A54CF22B2F5F9A9F1566CDA7BDEAA75389D0AC67C","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 7.5 percent spread/ATR."
"35","r10_a7_dfg_atr75","35","peak_r20_dfg_spread_yearly","35","phase6_dfg_spread_yearly_model1","r10_a7_dfg_atr75_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\035_r10_a7_dfg_atr75_2021_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_atr75_2021_full_m1","profiles\r10_a7_dfg_atr75_2021_full.set","0C4A027D63FB63B36AF86637B3BE207995D9A5FCF4A75BDBE9351C8A05E7CA69","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 7.5 percent spread/ATR."
"36","r10_a7_dfg_atr75","36","peak_r20_dfg_spread_yearly","36","phase6_dfg_spread_yearly_model1","r10_a7_dfg_atr75_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\036_r10_a7_dfg_atr75_2022_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_atr75_2022_full_m1","profiles\r10_a7_dfg_atr75_2022_full.set","78B5418F57E3DBCDA3F472DBF3CD8A885F18B63BA6E2E6EFEB62B9C34169A19A","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 7.5 percent spread/ATR."
"37","r10_a7_dfg_atr75","37","peak_r20_dfg_spread_yearly","37","phase6_dfg_spread_yearly_model1","r10_a7_dfg_atr75_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\037_r10_a7_dfg_atr75_2023_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_atr75_2023_full_m1","profiles\r10_a7_dfg_atr75_2023_full.set","9FB47DE919564CC7EED797CE2F45BFC15FD24B45CBD862DDA8D45F65C0B6E201","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 7.5 percent spread/ATR."
"38","r10_a7_dfg_atr75","38","peak_r20_dfg_spread_yearly","38","phase6_dfg_spread_yearly_model1","r10_a7_dfg_atr75_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\038_r10_a7_dfg_atr75_2024_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_atr75_2024_full_m1","profiles\r10_a7_dfg_atr75_2024_full.set","A7DCB30868A8120FABA17081323B61DE342723CC81E52913E1E6EA4A9CF88626","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 7.5 percent spread/ATR."
"39","r10_a7_dfg_atr75","39","peak_r20_dfg_spread_yearly","39","phase6_dfg_spread_yearly_model1","r10_a7_dfg_atr75_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\039_r10_a7_dfg_atr75_2025_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_atr75_2025_full_m1","profiles\r10_a7_dfg_atr75_2025_full.set","0A9DD2E7A18592DF33E71085285ED9527EAF8F48AF37ADD620E0F76E35C8FDFD","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 7.5 percent spread/ATR."
"40","r10_a7_dfg_atr75","40","peak_r20_dfg_spread_yearly","40","phase6_dfg_spread_yearly_model1","r10_a7_dfg_atr75_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\040_r10_a7_dfg_atr75_2026_ytd_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_atr75_2026_ytd_m1","profiles\r10_a7_dfg_atr75_2026_ytd.set","F849D51D016C02CF772FAE50226F5FD7DD84204E21A19B5C954F212B50F1054B","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 7.5 percent spread/ATR."
"41","r10_a7_dfg_atr70","41","peak_r20_dfg_spread_yearly","41","phase6_dfg_spread_yearly_model1","r10_a7_dfg_atr70_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\041_r10_a7_dfg_atr70_2019_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_atr70_2019_full_m1","profiles\r10_a7_dfg_atr70_2019_full.set","A2EE23655E78D3F9DC88B62642DDCB2A5E7C8A3842929493489146EAC9F75237","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 7.0 percent spread/ATR."
