"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","StopRule","Rationale"
"21","r10_a7_dgf_perf_3_2_40","21","peak_r20_dgf_perf_risk_yearly","21","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_3_2_40_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\021_r10_a7_dgf_perf_3_2_40_2023_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2023_full_m1","profiles\r10_a7_dgf_perf_3_2_40_2023_full.set","6E43334ECBEA9F6D10F5E48EE55D5F3385D7BA592B86D5F3B3CCC54BC598DEDF","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","More reactive DGF performance throttle using last 3 DGF trades, minimum 2 samples, floor 0.40."
"22","r10_a7_dgf_perf_3_2_40","22","peak_r20_dgf_perf_risk_yearly","22","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_3_2_40_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\022_r10_a7_dgf_perf_3_2_40_2024_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2024_full_m1","profiles\r10_a7_dgf_perf_3_2_40_2024_full.set","E073069C761A73BD54FEFA3B06E7AE5B4626F3106E38452EA5FE26565558ABA0","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","More reactive DGF performance throttle using last 3 DGF trades, minimum 2 samples, floor 0.40."
"23","r10_a7_dgf_perf_3_2_40","23","peak_r20_dgf_perf_risk_yearly","23","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_3_2_40_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\023_r10_a7_dgf_perf_3_2_40_2025_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2025_full_m1","profiles\r10_a7_dgf_perf_3_2_40_2025_full.set","A8807A6581C9916ADCF108DCA1C589883012C96BB05382AAC46901C193A18FD0","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","More reactive DGF performance throttle using last 3 DGF trades, minimum 2 samples, floor 0.40."
"24","r10_a7_dgf_perf_3_2_40","24","peak_r20_dgf_perf_risk_yearly","24","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_3_2_40_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\024_r10_a7_dgf_perf_3_2_40_2026_ytd_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2026_ytd_m1","profiles\r10_a7_dgf_perf_3_2_40_2026_ytd.set","01B7A7A2919F7507173A33425BF3912745CC60706C108096FC5DE03950C47885","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","More reactive DGF performance throttle using last 3 DGF trades, minimum 2 samples, floor 0.40."
"25","r10_a7_dgf_perf_5_2_50","25","peak_r20_dgf_perf_risk_yearly","25","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_5_2_50_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\025_r10_a7_dgf_perf_5_2_50_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_5_2_50_2019_full_m1","profiles\r10_a7_dgf_perf_5_2_50_2019_full.set","52FEBC9910E13945B7BC2933C8A8EC42961304427FDE930F9A068693AFB79301","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Smoother DGF performance throttle using last 5 DGF trades, minimum 2 samples, floor 0.50."
"26","r10_a7_dgf_perf_5_2_50","26","peak_r20_dgf_perf_risk_yearly","26","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_5_2_50_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\026_r10_a7_dgf_perf_5_2_50_2020_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_5_2_50_2020_full_m1","profiles\r10_a7_dgf_perf_5_2_50_2020_full.set","9474A1B38849465C3CBB1DA1BA544452EC7B0FB9F9C7F29EC54424E3F955E4AC","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Smoother DGF performance throttle using last 5 DGF trades, minimum 2 samples, floor 0.50."
"27","r10_a7_dgf_perf_5_2_50","27","peak_r20_dgf_perf_risk_yearly","27","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_5_2_50_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\027_r10_a7_dgf_perf_5_2_50_2021_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_5_2_50_2021_full_m1","profiles\r10_a7_dgf_perf_5_2_50_2021_full.set","E377B68A8D9F33EC73FC71A68F20D2EC42E88D2D8A47C254714BF6D724221152","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Smoother DGF performance throttle using last 5 DGF trades, minimum 2 samples, floor 0.50."
"28","r10_a7_dgf_perf_5_2_50","28","peak_r20_dgf_perf_risk_yearly","28","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_5_2_50_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\028_r10_a7_dgf_perf_5_2_50_2022_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_5_2_50_2022_full_m1","profiles\r10_a7_dgf_perf_5_2_50_2022_full.set","60C9BAC8E2CA6D142778A44178C0C701CC0739ECFAD7EAFE723D8175CAC859B2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Smoother DGF performance throttle using last 5 DGF trades, minimum 2 samples, floor 0.50."
"29","r10_a7_dgf_perf_5_2_50","29","peak_r20_dgf_perf_risk_yearly","29","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_5_2_50_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\029_r10_a7_dgf_perf_5_2_50_2023_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_5_2_50_2023_full_m1","profiles\r10_a7_dgf_perf_5_2_50_2023_full.set","7C7E9A20EC6C88F8C0DBD022AC415AAB75446D333E48CD3C28AD0839B6B387AC","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Smoother DGF performance throttle using last 5 DGF trades, minimum 2 samples, floor 0.50."
"30","r10_a7_dgf_perf_5_2_50","30","peak_r20_dgf_perf_risk_yearly","30","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_5_2_50_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\030_r10_a7_dgf_perf_5_2_50_2024_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_5_2_50_2024_full_m1","profiles\r10_a7_dgf_perf_5_2_50_2024_full.set","2C267F7CBA4F8AF5CF7E1FDDC088BD25E174EAC627188DF07BA3FBC9D6B0985E","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Smoother DGF performance throttle using last 5 DGF trades, minimum 2 samples, floor 0.50."
"31","r10_a7_dgf_perf_5_2_50","31","peak_r20_dgf_perf_risk_yearly","31","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_5_2_50_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\031_r10_a7_dgf_perf_5_2_50_2025_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_5_2_50_2025_full_m1","profiles\r10_a7_dgf_perf_5_2_50_2025_full.set","0CD91B62573D14BCCC95E9C5B8E118B69C748F49A09092E79729BDD57A110BF3","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Smoother DGF performance throttle using last 5 DGF trades, minimum 2 samples, floor 0.50."
"32","r10_a7_dgf_perf_5_2_50","32","peak_r20_dgf_perf_risk_yearly","32","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_5_2_50_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\032_r10_a7_dgf_perf_5_2_50_2026_ytd_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_5_2_50_2026_ytd_m1","profiles\r10_a7_dgf_perf_5_2_50_2026_ytd.set","B36312099AB25A2611891B6B69D939A9C1364BA205B82F0F8C4BD047ACC1A2EF","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Smoother DGF performance throttle using last 5 DGF trades, minimum 2 samples, floor 0.50."
"33","r10_a7_dgf_spread_perf_4_2_50","33","peak_r20_dgf_perf_risk_yearly","33","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_spread_perf_4_2_50_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\033_r10_a7_dgf_spread_perf_4_2_50_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_spread_perf_4_2_50_2019_full_m1","profiles\r10_a7_dgf_spread_perf_4_2_50_2019_full.set","09518DE73B39487401BFF2F6ED3A1B0FB2EB8764705570A43A0ED134629FEEC4","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Combine spread risk 25-45 floor 0.50 with DGF performance throttle 4/2 floor 0.50."
"34","r10_a7_dgf_spread_perf_4_2_50","34","peak_r20_dgf_perf_risk_yearly","34","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_spread_perf_4_2_50_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\034_r10_a7_dgf_spread_perf_4_2_50_2020_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_spread_perf_4_2_50_2020_full_m1","profiles\r10_a7_dgf_spread_perf_4_2_50_2020_full.set","EA8DB46FAB1CF7FC4B382E7EBABE88C0DEFC9EC8DAD31D3A83181FC7E9EF1C45","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Combine spread risk 25-45 floor 0.50 with DGF performance throttle 4/2 floor 0.50."
"35","r10_a7_dgf_spread_perf_4_2_50","35","peak_r20_dgf_perf_risk_yearly","35","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_spread_perf_4_2_50_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\035_r10_a7_dgf_spread_perf_4_2_50_2021_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_spread_perf_4_2_50_2021_full_m1","profiles\r10_a7_dgf_spread_perf_4_2_50_2021_full.set","D7AF1D174978ED3AD767F042D1C24785FB9B6B0823DE423D8468DBC2AABC2F2C","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Combine spread risk 25-45 floor 0.50 with DGF performance throttle 4/2 floor 0.50."
"36","r10_a7_dgf_spread_perf_4_2_50","36","peak_r20_dgf_perf_risk_yearly","36","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_spread_perf_4_2_50_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\036_r10_a7_dgf_spread_perf_4_2_50_2022_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_spread_perf_4_2_50_2022_full_m1","profiles\r10_a7_dgf_spread_perf_4_2_50_2022_full.set","412A5398661FEC4BECDF5843B8725CA552969F633B4926B749378D7804CE6028","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Combine spread risk 25-45 floor 0.50 with DGF performance throttle 4/2 floor 0.50."
