"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","StopRule","Rationale"
"11","r10_a7_dfg_risk_25_45_50","11","peak_r20_dfg_spread_risk_yearly","11","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_45_50_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\011_r10_a7_dfg_risk_25_45_50_2021_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2021_full_m1","profiles\r10_a7_dfg_risk_25_45_50_2021_full.set","24C053451B1CBC90F55A06182AF95CF06EC04CB677560858264FD119BE46BE59","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 45 spread points, floor 0.50."
"12","r10_a7_dfg_risk_25_45_50","12","peak_r20_dfg_spread_risk_yearly","12","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_45_50_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\012_r10_a7_dfg_risk_25_45_50_2022_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2022_full_m1","profiles\r10_a7_dfg_risk_25_45_50_2022_full.set","D179FDF4BCC0B1E09423D22726A2E4EC5C0C49F6CF2DA22E4B72263465880940","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 45 spread points, floor 0.50."
"13","r10_a7_dfg_risk_25_45_50","13","peak_r20_dfg_spread_risk_yearly","13","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_45_50_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\013_r10_a7_dfg_risk_25_45_50_2023_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2023_full_m1","profiles\r10_a7_dfg_risk_25_45_50_2023_full.set","82B170BBC4EDFFEDD8609A499EA4BB859079AE1EA00AD2A4084CC108CB8DBD20","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 45 spread points, floor 0.50."
"14","r10_a7_dfg_risk_25_45_50","14","peak_r20_dfg_spread_risk_yearly","14","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_45_50_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\014_r10_a7_dfg_risk_25_45_50_2024_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2024_full_m1","profiles\r10_a7_dfg_risk_25_45_50_2024_full.set","C81BCB7C0A82D055266DDD1B057E980E2843A0C8907C3918E79BF6D4C6A838B1","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 45 spread points, floor 0.50."
"15","r10_a7_dfg_risk_25_45_50","15","peak_r20_dfg_spread_risk_yearly","15","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_45_50_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\015_r10_a7_dfg_risk_25_45_50_2025_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2025_full_m1","profiles\r10_a7_dfg_risk_25_45_50_2025_full.set","B214EDE300210A0DBC4FC5222C27B9E71124A78BBFA3D9C92E371F6B8100CB19","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 45 spread points, floor 0.50."
"16","r10_a7_dfg_risk_25_45_50","16","peak_r20_dfg_spread_risk_yearly","16","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_45_50_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\016_r10_a7_dfg_risk_25_45_50_2026_ytd_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2026_ytd_m1","profiles\r10_a7_dfg_risk_25_45_50_2026_ytd.set","60CB01CAEB1B6A3BE03BA28DA0DBB80D7F048E9A78B6782D788CAED9AF87C275","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 45 spread points, floor 0.50."
"17","r10_a7_dfg_risk_25_35_35","17","peak_r20_dfg_spread_risk_yearly","17","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_35_35_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\017_r10_a7_dfg_risk_25_35_35_2019_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2019_full_m1","profiles\r10_a7_dfg_risk_25_35_35_2019_full.set","4AFA46BFD1FCB4007DB915640B3D064F8DABD66980DB5F74FDF168B599A6A630","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 35 spread points, floor 0.35."
"18","r10_a7_dfg_risk_25_35_35","18","peak_r20_dfg_spread_risk_yearly","18","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_35_35_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\018_r10_a7_dfg_risk_25_35_35_2020_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2020_full_m1","profiles\r10_a7_dfg_risk_25_35_35_2020_full.set","A26745931C512D7EAE6E77F79C3987141ED0EA41144D3F03E767819580B32296","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 35 spread points, floor 0.35."
"19","r10_a7_dfg_risk_25_35_35","19","peak_r20_dfg_spread_risk_yearly","19","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_35_35_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\019_r10_a7_dfg_risk_25_35_35_2021_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2021_full_m1","profiles\r10_a7_dfg_risk_25_35_35_2021_full.set","84935C764BF7960055DC6822B3692765C9E56B7B368ECF5AE84BB07A168D403A","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 35 spread points, floor 0.35."
"20","r10_a7_dfg_risk_25_35_35","20","peak_r20_dfg_spread_risk_yearly","20","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_35_35_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\020_r10_a7_dfg_risk_25_35_35_2022_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2022_full_m1","profiles\r10_a7_dfg_risk_25_35_35_2022_full.set","DE10176A324A9DEEC6585D8E4369377F030EC00DBF4C62CF6E0E2AE87CD7C144","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 35 spread points, floor 0.35."
"21","r10_a7_dfg_risk_25_35_35","21","peak_r20_dfg_spread_risk_yearly","21","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_35_35_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\021_r10_a7_dfg_risk_25_35_35_2023_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2023_full_m1","profiles\r10_a7_dfg_risk_25_35_35_2023_full.set","EA0A3F704B0554F08D2EF0D3C7B061048F118BB36235188A1243BC6ABCD1ADE2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 35 spread points, floor 0.35."
"22","r10_a7_dfg_risk_25_35_35","22","peak_r20_dfg_spread_risk_yearly","22","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_35_35_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\022_r10_a7_dfg_risk_25_35_35_2024_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2024_full_m1","profiles\r10_a7_dfg_risk_25_35_35_2024_full.set","6F428C9FD6678154F38262E58EB22C918DA1CB8F352712D1AE207F6C8312B666","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 35 spread points, floor 0.35."
"23","r10_a7_dfg_risk_25_35_35","23","peak_r20_dfg_spread_risk_yearly","23","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_35_35_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\023_r10_a7_dfg_risk_25_35_35_2025_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2025_full_m1","profiles\r10_a7_dfg_risk_25_35_35_2025_full.set","6D19A4324479FD1FE650145E2015BC2F98563651DAE11917BA0422EFEC55044B","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 35 spread points, floor 0.35."
"24","r10_a7_dfg_risk_25_35_35","24","peak_r20_dfg_spread_risk_yearly","24","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_35_35_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\024_r10_a7_dfg_risk_25_35_35_2026_ytd_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2026_ytd_m1","profiles\r10_a7_dfg_risk_25_35_35_2026_ytd.set","43496ECB63358FB4C9B4E856CA0048ADEF65CEA423C83E8B0D37B2D2F5C3857F","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 35 spread points, floor 0.35."
"25","r10_a7_dfg_risk_25_31_25","25","peak_r20_dfg_spread_risk_yearly","25","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_31_25_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\025_r10_a7_dfg_risk_25_31_25_2019_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_31_25_2019_full_m1","profiles\r10_a7_dfg_risk_25_31_25_2019_full.set","EF5048CC6E2481910E96DCBD93A987D4DB48DA643E612E21AAF12C53455AF56E","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Aggressively scale diagnostic fallback risk from 25 to 31 spread points, floor 0.25."
"26","r10_a7_dfg_risk_25_31_25","26","peak_r20_dfg_spread_risk_yearly","26","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_31_25_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\026_r10_a7_dfg_risk_25_31_25_2020_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_31_25_2020_full_m1","profiles\r10_a7_dfg_risk_25_31_25_2020_full.set","3F65E9E73A5ABF8479C69FA56341A4B79C83F63BCF8EA7B119CC7202B90BE279","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Aggressively scale diagnostic fallback risk from 25 to 31 spread points, floor 0.25."
"27","r10_a7_dfg_risk_25_31_25","27","peak_r20_dfg_spread_risk_yearly","27","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_31_25_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\027_r10_a7_dfg_risk_25_31_25_2021_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_31_25_2021_full_m1","profiles\r10_a7_dfg_risk_25_31_25_2021_full.set","B62BE0C8F428816F157F4A5A4FE74394E0E3D4E623362F78D3015B6C2A892DCB","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Aggressively scale diagnostic fallback risk from 25 to 31 spread points, floor 0.25."
"28","r10_a7_dfg_risk_25_31_25","28","peak_r20_dfg_spread_risk_yearly","28","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_31_25_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\028_r10_a7_dfg_risk_25_31_25_2022_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_31_25_2022_full_m1","profiles\r10_a7_dfg_risk_25_31_25_2022_full.set","4D672DB154DA5C49E5776F94CBBA8FEB4D2DE8B16E9403668561998BA6247D4D","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Aggressively scale diagnostic fallback risk from 25 to 31 spread points, floor 0.25."
"29","r10_a7_dfg_risk_25_31_25","29","peak_r20_dfg_spread_risk_yearly","29","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_31_25_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\029_r10_a7_dfg_risk_25_31_25_2023_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_31_25_2023_full_m1","profiles\r10_a7_dfg_risk_25_31_25_2023_full.set","EA464DAB0186EF79B5E2933638B4E9B997E3771BA20F29C605FA0BEF2A3737A3","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Aggressively scale diagnostic fallback risk from 25 to 31 spread points, floor 0.25."
"30","r10_a7_dfg_risk_25_31_25","30","peak_r20_dfg_spread_risk_yearly","30","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_31_25_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\030_r10_a7_dfg_risk_25_31_25_2024_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_31_25_2024_full_m1","profiles\r10_a7_dfg_risk_25_31_25_2024_full.set","1EBC1C97B7569AD2B55E7120F7E83C4774A4F21851D1B01141FA7E54CF8A7AD3","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Aggressively scale diagnostic fallback risk from 25 to 31 spread points, floor 0.25."
"31","r10_a7_dfg_risk_25_31_25","31","peak_r20_dfg_spread_risk_yearly","31","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_31_25_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\031_r10_a7_dfg_risk_25_31_25_2025_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_31_25_2025_full_m1","profiles\r10_a7_dfg_risk_25_31_25_2025_full.set","BA32038FFA53EB450AFD407625FC5D87594DE4190F1F4B4D02765DD8815EEC70","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Aggressively scale diagnostic fallback risk from 25 to 31 spread points, floor 0.25."
"32","r10_a7_dfg_risk_25_31_25","32","peak_r20_dfg_spread_risk_yearly","32","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_31_25_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\032_r10_a7_dfg_risk_25_31_25_2026_ytd_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_31_25_2026_ytd_m1","profiles\r10_a7_dfg_risk_25_31_25_2026_ytd.set","54D729F91A62AFAE64FC6DF9313C7B57788D310DF742850C8BCFEF6AB9BBA765","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Aggressively scale diagnostic fallback risk from 25 to 31 spread points, floor 0.25."
"33","r10_a7_dfg_risk_20_35_35","33","peak_r20_dfg_spread_risk_yearly","33","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_20_35_35_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\033_r10_a7_dfg_risk_20_35_35_2019_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_20_35_35_2019_full_m1","profiles\r10_a7_dfg_risk_20_35_35_2019_full.set","907A3B08E7925FB637495571BF8B08AA4D6716F1B5D917290CDDBA656FEB2AD7","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 20 to 35 spread points, floor 0.35."
"34","r10_a7_dfg_risk_20_35_35","34","peak_r20_dfg_spread_risk_yearly","34","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_20_35_35_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\034_r10_a7_dfg_risk_20_35_35_2020_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_20_35_35_2020_full_m1","profiles\r10_a7_dfg_risk_20_35_35_2020_full.set","EAEC357451187413E39B6C256A1B624D6707E01C9E24F498F25BC90E0752F7B3","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 20 to 35 spread points, floor 0.35."
"35","r10_a7_dfg_risk_20_35_35","35","peak_r20_dfg_spread_risk_yearly","35","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_20_35_35_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\035_r10_a7_dfg_risk_20_35_35_2021_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_20_35_35_2021_full_m1","profiles\r10_a7_dfg_risk_20_35_35_2021_full.set","2F06EE0BEBC7F8A39933060F2D806649CB55012342AC9550A403BA43C7B2FC60","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 20 to 35 spread points, floor 0.35."
"36","r10_a7_dfg_risk_20_35_35","36","peak_r20_dfg_spread_risk_yearly","36","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_20_35_35_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\036_r10_a7_dfg_risk_20_35_35_2022_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_20_35_35_2022_full_m1","profiles\r10_a7_dfg_risk_20_35_35_2022_full.set","1A0EC5D0554BE1A6B6475DD876010A7AFCB7119CD80BE4F5537C4DD73891B61A","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 20 to 35 spread points, floor 0.35."
"37","r10_a7_dfg_risk_20_35_35","37","peak_r20_dfg_spread_risk_yearly","37","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_20_35_35_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\037_r10_a7_dfg_risk_20_35_35_2023_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_20_35_35_2023_full_m1","profiles\r10_a7_dfg_risk_20_35_35_2023_full.set","F0D21D55DE0F47E18E782DD987C585F7FFEC8878CF882097175ADC305F0767F6","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 20 to 35 spread points, floor 0.35."
