"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","SqueezeEnabled","MaximumAccountPositions","PartialRunnerEnabled","ClosePercent","TriggerR","TargetR","StopLockR","SqueezeRiskPercent","SqueezeTakeProfitR","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"11","sqpr_close70","4","close_neighbor_low","four_lane_m15_squeeze_partial_runner_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","true","70","1.50","4.00","1.25","0.10","1.50","sqpr_close70_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\011_sqpr_close70_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\011_sqpr_close70_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_close70_discovery_2019_2020_m1","1C9FACFC3C93DDF832E1DC0AE49A2D7966939388690C234DC6A41F1504C9CF0F","643D524E6CBD3EA7A36DD23D0674ADA2B6779CB8F82411C0C76AAEA69F44A11F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"12","sqpr_close70","4","close_neighbor_low","four_lane_m15_squeeze_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","true","70","1.50","4.00","1.25","0.10","1.50","sqpr_close70_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\012_sqpr_close70_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\012_sqpr_close70_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_close70_continuous_2015_2020_m1","F1D5AA624517C2B62C3C2D7890F4A8B6A441548C5BCD093F824F2AE6D98A5DED","643D524E6CBD3EA7A36DD23D0674ADA2B6779CB8F82411C0C76AAEA69F44A11F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"13","sqpr_close90","5","close_neighbor_high","four_lane_m15_squeeze_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","true","90","1.50","4.00","1.25","0.10","1.50","sqpr_close90_older_2015_2018_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\013_sqpr_close90_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\013_sqpr_close90_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_close90_older_2015_2018_m1","8B629F17843E50C42BD4986264D77D4C19952D33FDCC99302A564C9ECA33B191","FB4B8E66921C42F04B660124B90F2D0AEA865E606C8C70BD0C505C5023053814","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"14","sqpr_close90","5","close_neighbor_high","four_lane_m15_squeeze_partial_runner_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","true","90","1.50","4.00","1.25","0.10","1.50","sqpr_close90_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\014_sqpr_close90_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\014_sqpr_close90_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_close90_discovery_2019_2020_m1","E6687714C7257E8BC066A860E39A3F03BE7583490C0768257F3274753C43F878","FB4B8E66921C42F04B660124B90F2D0AEA865E606C8C70BD0C505C5023053814","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"15","sqpr_close90","5","close_neighbor_high","four_lane_m15_squeeze_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","true","90","1.50","4.00","1.25","0.10","1.50","sqpr_close90_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\015_sqpr_close90_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\015_sqpr_close90_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_close90_continuous_2015_2020_m1","444B1E1F186FC8BFD177473C690D3F559CC462376BCB9398531A794A3F4E48D4","FB4B8E66921C42F04B660124B90F2D0AEA865E606C8C70BD0C505C5023053814","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"16","sqpr_target300","6","target_neighbor_low","four_lane_m15_squeeze_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","true","80","1.50","3.00","1.25","0.10","1.50","sqpr_target300_older_2015_2018_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\016_sqpr_target300_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\016_sqpr_target300_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_target300_older_2015_2018_m1","FBEBFE8A3B7A755A4B5622A644E62E701677A7083FDCAB76738FC218C9225654","769FE46DADC768CF212C4C20461CF7DAEDE689A3018EFCD9A6E32B62662D7DEF","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"17","sqpr_target300","6","target_neighbor_low","four_lane_m15_squeeze_partial_runner_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","true","80","1.50","3.00","1.25","0.10","1.50","sqpr_target300_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\017_sqpr_target300_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\017_sqpr_target300_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_target300_discovery_2019_2020_m1","0B5298C226668BB0F5A246FFB2C3CFC0304A3A745C992D91E6BE63B8810BAF39","769FE46DADC768CF212C4C20461CF7DAEDE689A3018EFCD9A6E32B62662D7DEF","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"18","sqpr_target300","6","target_neighbor_low","four_lane_m15_squeeze_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","true","80","1.50","3.00","1.25","0.10","1.50","sqpr_target300_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\018_sqpr_target300_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\018_sqpr_target300_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_target300_continuous_2015_2020_m1","FD21599932A94637AD98EB674E851563626B38C340ED8A9389767315E33F8540","769FE46DADC768CF212C4C20461CF7DAEDE689A3018EFCD9A6E32B62662D7DEF","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"19","sqpr_target500","7","target_neighbor_high","four_lane_m15_squeeze_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","true","80","1.50","5.00","1.25","0.10","1.50","sqpr_target500_older_2015_2018_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\019_sqpr_target500_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\019_sqpr_target500_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_target500_older_2015_2018_m1","BE79EC365AF41CAF3B5FE26C8B768DAAEFBCA50D5080F057AAEBAE64CD08D065","503C9DA5DBB781A8DF63CC4906051236498CCB26BC5F03A0E4C1DD67EB01AE3F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"20","sqpr_target500","7","target_neighbor_high","four_lane_m15_squeeze_partial_runner_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","true","80","1.50","5.00","1.25","0.10","1.50","sqpr_target500_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\020_sqpr_target500_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\020_sqpr_target500_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_target500_discovery_2019_2020_m1","CDFE2A4ED47B23F383973F87B55382EA290DE438AB20C43D2E64D35EBB46E61B","503C9DA5DBB781A8DF63CC4906051236498CCB26BC5F03A0E4C1DD67EB01AE3F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"21","sqpr_target500","7","target_neighbor_high","four_lane_m15_squeeze_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","true","80","1.50","5.00","1.25","0.10","1.50","sqpr_target500_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\021_sqpr_target500_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\021_sqpr_target500_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_target500_continuous_2015_2020_m1","FED593D829234C4A3D4C20B85C05A278695291BC0495C79F86A8C19A442DB9D2","503C9DA5DBB781A8DF63CC4906051236498CCB26BC5F03A0E4C1DD67EB01AE3F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"22","sqpr_lock100","8","lock_neighbor_low","four_lane_m15_squeeze_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","true","80","1.50","4.00","1.00","0.10","1.50","sqpr_lock100_older_2015_2018_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\022_sqpr_lock100_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\022_sqpr_lock100_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_lock100_older_2015_2018_m1","99AB30C6940C019370CCC07A30A0BFFD4DFDC49E0113D6D88EF32E4DA90A0A36","E1DFF6587276E807D6647B3D7F5ABE4BDC7A9DAF6622FA02AD052B221FD414D5","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"23","sqpr_lock100","8","lock_neighbor_low","four_lane_m15_squeeze_partial_runner_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","true","80","1.50","4.00","1.00","0.10","1.50","sqpr_lock100_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\023_sqpr_lock100_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\023_sqpr_lock100_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_lock100_discovery_2019_2020_m1","0DBB649EE2A5425C1FC6B1F820BB0EC59243EC47E53DDB04A9EDD19B35AF23B3","E1DFF6587276E807D6647B3D7F5ABE4BDC7A9DAF6622FA02AD052B221FD414D5","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"24","sqpr_lock100","8","lock_neighbor_low","four_lane_m15_squeeze_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","true","80","1.50","4.00","1.00","0.10","1.50","sqpr_lock100_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\024_sqpr_lock100_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\024_sqpr_lock100_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_lock100_continuous_2015_2020_m1","F45313D8F57E8FD686405F322D69237071B86A28CD9B9CE53166685614DCB4CD","E1DFF6587276E807D6647B3D7F5ABE4BDC7A9DAF6622FA02AD052B221FD414D5","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"25","sqpr_lock140","9","lock_neighbor_high","four_lane_m15_squeeze_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","true","80","1.50","4.00","1.40","0.10","1.50","sqpr_lock140_older_2015_2018_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\025_sqpr_lock140_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\025_sqpr_lock140_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_lock140_older_2015_2018_m1","0F14E0B5EDC140ECC6499512DB1421EDCC73647CED5980FF529D4B7BDB556E00","B3021B313C4CCD1D6A3B59B1FDA826C0087C3A1EDC3136D7ECB840AEEE903CC9","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"26","sqpr_lock140","9","lock_neighbor_high","four_lane_m15_squeeze_partial_runner_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","true","80","1.50","4.00","1.40","0.10","1.50","sqpr_lock140_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\026_sqpr_lock140_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\026_sqpr_lock140_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_lock140_discovery_2019_2020_m1","91CC0667293A8F409D0E36A056348ACC76BF7AA997E8CEC293240EE15DCF01BC","B3021B313C4CCD1D6A3B59B1FDA826C0087C3A1EDC3136D7ECB840AEEE903CC9","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"27","sqpr_lock140","9","lock_neighbor_high","four_lane_m15_squeeze_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","true","80","1.50","4.00","1.40","0.10","1.50","sqpr_lock140_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\027_sqpr_lock140_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\027_sqpr_lock140_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_lock140_continuous_2015_2020_m1","40F50C24DC8997DA288D79A9BFD7E70C0D4DECB0610DB735E9A28A4D66A33E69","B3021B313C4CCD1D6A3B59B1FDA826C0087C3A1EDC3136D7ECB840AEEE903CC9","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
