"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","ProxyLookbackBars","MinimumProxyComponentATR","MinimumConsensusATR","MaximumGoldExtensionATR","BreakoutLookbackBars","BreakoutBufferATR","TakeProfitR","StopRule"
"16","usdcll_component05","4","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_component05.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_usdcll_component05_discovery_2019_2020_m1.ini","usdcll_component05_discovery_2019_2020_m1","profiles\usdcll_component05.set","7760374089C03EBFEB465F27C076CE523C9D8F3EA3C155DBBA29D68B124971C7","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.05","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"18","usdcll_component05","4","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_component05.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_usdcll_component05_continuous_2015_2020_m1.ini","usdcll_component05_continuous_2015_2020_m1","profiles\usdcll_component05.set","7760374089C03EBFEB465F27C076CE523C9D8F3EA3C155DBBA29D68B124971C7","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.05","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"19","usdcll_component15","5","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_component15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_usdcll_component15_older_2015_2018_m1.ini","usdcll_component15_older_2015_2018_m1","profiles\usdcll_component15.set","AF6F4F48E43B9F90C92E782EC4D634970032435005E12007C0A13B6325F2F479","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.15","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"21","usdcll_component15","5","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_component15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_usdcll_component15_discovery_2019_2020_m1.ini","usdcll_component15_discovery_2019_2020_m1","profiles\usdcll_component15.set","AF6F4F48E43B9F90C92E782EC4D634970032435005E12007C0A13B6325F2F479","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.15","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"22","usdcll_component15","5","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_component15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_usdcll_component15_continuous_2015_2020_m1.ini","usdcll_component15_continuous_2015_2020_m1","profiles\usdcll_component15.set","AF6F4F48E43B9F90C92E782EC4D634970032435005E12007C0A13B6325F2F479","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.15","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"24","usdcll_consensus15","6","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_consensus15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_usdcll_consensus15_older_2015_2018_m1.ini","usdcll_consensus15_older_2015_2018_m1","profiles\usdcll_consensus15.set","9280957969B3E981119894D7BE818B7863E4B3BFE0EE2A5E91E8E7531F8C8AB8","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.15","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"25","usdcll_consensus15","6","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_consensus15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_usdcll_consensus15_discovery_2019_2020_m1.ini","usdcll_consensus15_discovery_2019_2020_m1","profiles\usdcll_consensus15.set","9280957969B3E981119894D7BE818B7863E4B3BFE0EE2A5E91E8E7531F8C8AB8","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.15","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"27","usdcll_consensus15","6","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_consensus15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_usdcll_consensus15_continuous_2015_2020_m1.ini","usdcll_consensus15_continuous_2015_2020_m1","profiles\usdcll_consensus15.set","9280957969B3E981119894D7BE818B7863E4B3BFE0EE2A5E91E8E7531F8C8AB8","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.15","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"28","usdcll_consensus35","7","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_consensus35.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_usdcll_consensus35_older_2015_2018_m1.ini","usdcll_consensus35_older_2015_2018_m1","profiles\usdcll_consensus35.set","C946801442A781E09D4822758B85E2D695338526EF2B4A29AFC8DF90EA73FA35","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.35","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"30","usdcll_consensus35","7","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_consensus35.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_usdcll_consensus35_discovery_2019_2020_m1.ini","usdcll_consensus35_discovery_2019_2020_m1","profiles\usdcll_consensus35.set","C946801442A781E09D4822758B85E2D695338526EF2B4A29AFC8DF90EA73FA35","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.35","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"31","usdcll_consensus35","7","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_consensus35.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_usdcll_consensus35_continuous_2015_2020_m1.ini","usdcll_consensus35_continuous_2015_2020_m1","profiles\usdcll_consensus35.set","C946801442A781E09D4822758B85E2D695338526EF2B4A29AFC8DF90EA73FA35","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.35","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"33","usdcll_goldmax20","8","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_goldmax20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_usdcll_goldmax20_older_2015_2018_m1.ini","usdcll_goldmax20_older_2015_2018_m1","profiles\usdcll_goldmax20.set","61A5C32954CD0DEEE18BDBF611FDFB6A60ECF4A0F46ECD08A07616B33FB3F4FA","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.20","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"34","usdcll_goldmax20","8","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_goldmax20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_usdcll_goldmax20_discovery_2019_2020_m1.ini","usdcll_goldmax20_discovery_2019_2020_m1","profiles\usdcll_goldmax20.set","61A5C32954CD0DEEE18BDBF611FDFB6A60ECF4A0F46ECD08A07616B33FB3F4FA","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.20","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"36","usdcll_goldmax20","8","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_goldmax20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_usdcll_goldmax20_continuous_2015_2020_m1.ini","usdcll_goldmax20_continuous_2015_2020_m1","profiles\usdcll_goldmax20.set","61A5C32954CD0DEEE18BDBF611FDFB6A60ECF4A0F46ECD08A07616B33FB3F4FA","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.20","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"37","usdcll_goldmax50","9","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_goldmax50.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_usdcll_goldmax50_older_2015_2018_m1.ini","usdcll_goldmax50_older_2015_2018_m1","profiles\usdcll_goldmax50.set","EA86AA5BECA44497B3E2CCA71A2661026E831960DA0472163A77657B72C78CA0","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.50","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"39","usdcll_goldmax50","9","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_goldmax50.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_usdcll_goldmax50_discovery_2019_2020_m1.ini","usdcll_goldmax50_discovery_2019_2020_m1","profiles\usdcll_goldmax50.set","EA86AA5BECA44497B3E2CCA71A2661026E831960DA0472163A77657B72C78CA0","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.50","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"40","usdcll_goldmax50","9","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_goldmax50.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_usdcll_goldmax50_continuous_2015_2020_m1.ini","usdcll_goldmax50_continuous_2015_2020_m1","profiles\usdcll_goldmax50.set","EA86AA5BECA44497B3E2CCA71A2661026E831960DA0472163A77657B72C78CA0","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.50","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"42","usdcll_breakout3","10","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_breakout3.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_usdcll_breakout3_older_2015_2018_m1.ini","usdcll_breakout3_older_2015_2018_m1","profiles\usdcll_breakout3.set","DED96AC4BBE533007EBA93FE206B107A27A505D123FD83A0FCB0372CD2B81290","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","3","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"43","usdcll_breakout3","10","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_breakout3.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_usdcll_breakout3_discovery_2019_2020_m1.ini","usdcll_breakout3_discovery_2019_2020_m1","profiles\usdcll_breakout3.set","DED96AC4BBE533007EBA93FE206B107A27A505D123FD83A0FCB0372CD2B81290","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","3","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"45","usdcll_breakout3","10","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_breakout3.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_usdcll_breakout3_continuous_2015_2020_m1.ini","usdcll_breakout3_continuous_2015_2020_m1","profiles\usdcll_breakout3.set","DED96AC4BBE533007EBA93FE206B107A27A505D123FD83A0FCB0372CD2B81290","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","3","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"46","usdcll_breakout6","11","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_breakout6.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\031_usdcll_breakout6_older_2015_2018_m1.ini","usdcll_breakout6_older_2015_2018_m1","profiles\usdcll_breakout6.set","325B7752E2DAA000A83C27ECA6D98CAD477B1CF4ECEB8A0194724D5B53B6C45E","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","6","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"48","usdcll_breakout6","11","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_breakout6.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\032_usdcll_breakout6_discovery_2019_2020_m1.ini","usdcll_breakout6_discovery_2019_2020_m1","profiles\usdcll_breakout6.set","325B7752E2DAA000A83C27ECA6D98CAD477B1CF4ECEB8A0194724D5B53B6C45E","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","6","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"49","usdcll_breakout6","11","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_breakout6.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\033_usdcll_breakout6_continuous_2015_2020_m1.ini","usdcll_breakout6_continuous_2015_2020_m1","profiles\usdcll_breakout6.set","325B7752E2DAA000A83C27ECA6D98CAD477B1CF4ECEB8A0194724D5B53B6C45E","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","6","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"51","usdcll_buffer00","12","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_buffer00.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\034_usdcll_buffer00_older_2015_2018_m1.ini","usdcll_buffer00_older_2015_2018_m1","profiles\usdcll_buffer00.set","92384FCAFBF1C18DFCB0569D1A7D2FA75197A6C328F2DC3A184157E1AE3D262F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","4","0.00","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"52","usdcll_buffer00","12","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_buffer00.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\035_usdcll_buffer00_discovery_2019_2020_m1.ini","usdcll_buffer00_discovery_2019_2020_m1","profiles\usdcll_buffer00.set","92384FCAFBF1C18DFCB0569D1A7D2FA75197A6C328F2DC3A184157E1AE3D262F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","4","0.00","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"54","usdcll_buffer00","12","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_buffer00.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_usdcll_buffer00_continuous_2015_2020_m1.ini","usdcll_buffer00_continuous_2015_2020_m1","profiles\usdcll_buffer00.set","92384FCAFBF1C18DFCB0569D1A7D2FA75197A6C328F2DC3A184157E1AE3D262F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","4","0.00","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"55","usdcll_buffer10","13","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_buffer10.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\037_usdcll_buffer10_older_2015_2018_m1.ini","usdcll_buffer10_older_2015_2018_m1","profiles\usdcll_buffer10.set","9C18CBFC32474071235ECB2979A66A096861721817E3C8A03C84B46DAB2D3888","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","4","0.10","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"57","usdcll_buffer10","13","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_buffer10.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\038_usdcll_buffer10_discovery_2019_2020_m1.ini","usdcll_buffer10_discovery_2019_2020_m1","profiles\usdcll_buffer10.set","9C18CBFC32474071235ECB2979A66A096861721817E3C8A03C84B46DAB2D3888","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","4","0.10","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
