"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","RiskScaleFactor","MomentumRiskPercent","AdaptiveRiskPercent","ReversionRiskPercent","DeclaredLaneRiskSumPercent","MaximumPortfolioOpenRiskPercent","ReversionMaximumPositionLots","StrongReversionMaximumPositionLots","AdaptiveMaximumPositionLots","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"11","cerl_center150","3","center","capital_efficiency_risk_ladder_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","1.50","0.225","0.225","0.675","1.125","1.125","0.15","0.225","0.15","cerl_center150_older_2015_2018_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\011_cerl_center150_older_2015_2018_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\011_cerl_center150_older_2015_2018_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_center150_older_2015_2018_m1","49D2B0D726F2AFA36428177DD5E592350A88C573E40CF8614ABD1F42E1098D8A","39BE631DBDF7E0EDAF5EA14C7CC287A05EDFC9111D3F0AF92800A0AB17E91A9D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"12","cerl_center150","3","center","capital_efficiency_risk_ladder_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","1.50","0.225","0.225","0.675","1.125","1.125","0.15","0.225","0.15","cerl_center150_middle_2019_2020_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\012_cerl_center150_middle_2019_2020_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\012_cerl_center150_middle_2019_2020_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_center150_middle_2019_2020_m1","ED9267E76E257E44B41D567417C2653B124175EAB816993440E4811D1B53D7A9","39BE631DBDF7E0EDAF5EA14C7CC287A05EDFC9111D3F0AF92800A0AB17E91A9D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"13","cerl_center150","3","center","capital_efficiency_risk_ladder_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","1.50","0.225","0.225","0.675","1.125","1.125","0.15","0.225","0.15","cerl_center150_recent_2021_2023_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\013_cerl_center150_recent_2021_2023_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\013_cerl_center150_recent_2021_2023_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_center150_recent_2021_2023_m1","E5686AC0468DF9C0FBB8CFDBDBDFA1CB08466C0B51344038E456B5D9D02F676C","39BE631DBDF7E0EDAF5EA14C7CC287A05EDFC9111D3F0AF92800A0AB17E91A9D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"14","cerl_center150","3","center","capital_efficiency_risk_ladder_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","1.50","0.225","0.225","0.675","1.125","1.125","0.15","0.225","0.15","cerl_center150_latest_2024_2026_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\014_cerl_center150_latest_2024_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\014_cerl_center150_latest_2024_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_center150_latest_2024_2026_m1","C67653D4CDB8EAAD81619EC12C40147D32DEC547B33059704860E05DFD0B60A4","39BE631DBDF7E0EDAF5EA14C7CC287A05EDFC9111D3F0AF92800A0AB17E91A9D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"15","cerl_center150","3","center","capital_efficiency_risk_ladder_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","1.50","0.225","0.225","0.675","1.125","1.125","0.15","0.225","0.15","cerl_center150_continuous_2015_2026_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\015_cerl_center150_continuous_2015_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\015_cerl_center150_continuous_2015_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_center150_continuous_2015_2026_m1","3440D62646E0A0D2B620C7A986C068C5E4104B7EBA05CA89C4B1A6843E5C8D1D","39BE631DBDF7E0EDAF5EA14C7CC287A05EDFC9111D3F0AF92800A0AB17E91A9D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"16","cerl_high175","4","upper_neighbor","capital_efficiency_risk_ladder_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","1.75","0.2625","0.2625","0.7875","1.3125","1.3125","0.175","0.2625","0.175","cerl_high175_older_2015_2018_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\016_cerl_high175_older_2015_2018_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\016_cerl_high175_older_2015_2018_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_high175_older_2015_2018_m1","9239748655118DE8827069CFFC3162180EAA34B76409EF2015A1C8A27F1787BC","3961E9D9BAC9C43C5F6F2069B88AC80F1FC5CA9DFE2AC9FDF3A73216D1B7AF17","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"17","cerl_high175","4","upper_neighbor","capital_efficiency_risk_ladder_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","1.75","0.2625","0.2625","0.7875","1.3125","1.3125","0.175","0.2625","0.175","cerl_high175_middle_2019_2020_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\017_cerl_high175_middle_2019_2020_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\017_cerl_high175_middle_2019_2020_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_high175_middle_2019_2020_m1","47C9066C5A40D175A9879676531E18B53BBF8788025C69231EEA10C945FE2AB9","3961E9D9BAC9C43C5F6F2069B88AC80F1FC5CA9DFE2AC9FDF3A73216D1B7AF17","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"18","cerl_high175","4","upper_neighbor","capital_efficiency_risk_ladder_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","1.75","0.2625","0.2625","0.7875","1.3125","1.3125","0.175","0.2625","0.175","cerl_high175_recent_2021_2023_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\018_cerl_high175_recent_2021_2023_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\018_cerl_high175_recent_2021_2023_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_high175_recent_2021_2023_m1","6BE1F9F47815A9C336877909B7C027BE6A0C49000370F9FF3E64A62C812FBC72","3961E9D9BAC9C43C5F6F2069B88AC80F1FC5CA9DFE2AC9FDF3A73216D1B7AF17","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"19","cerl_high175","4","upper_neighbor","capital_efficiency_risk_ladder_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","1.75","0.2625","0.2625","0.7875","1.3125","1.3125","0.175","0.2625","0.175","cerl_high175_latest_2024_2026_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\019_cerl_high175_latest_2024_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\019_cerl_high175_latest_2024_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_high175_latest_2024_2026_m1","64E1081CC8AC6300AC98D56E24C9BB6C4682F41BC2E8FDFFCD4C88907A675B11","3961E9D9BAC9C43C5F6F2069B88AC80F1FC5CA9DFE2AC9FDF3A73216D1B7AF17","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"20","cerl_high175","4","upper_neighbor","capital_efficiency_risk_ladder_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","1.75","0.2625","0.2625","0.7875","1.3125","1.3125","0.175","0.2625","0.175","cerl_high175_continuous_2015_2026_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\020_cerl_high175_continuous_2015_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\020_cerl_high175_continuous_2015_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_high175_continuous_2015_2026_m1","CEB4E7A41D77B4267E90ECCAA43BDD434E9DDBF8E9E558BB8132D54CA2AA43E1","3961E9D9BAC9C43C5F6F2069B88AC80F1FC5CA9DFE2AC9FDF3A73216D1B7AF17","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
