"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","D1EmaSlopeOverextensionGuardEnabled","MaximumD1EmaSlopeATR","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"11","mdes_center100","3","center","momentum_d1_ema_slope_guard_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.00","0.15","0.45","0.15","0.75","mdes_center100_older_2015_2018_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\011_mdes_center100_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\011_mdes_center100_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_center100_older_2015_2018_m1","EFAA73039967C06F02FF1F74B27A3F6E41F9C3A603EEDB5CD6B060B017A17567","D7B119B5F8DA95BD95398FB534C2E96ECDE79CC1D6E75939C228510E9CE79F5E","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"12","mdes_center100","3","center","momentum_d1_ema_slope_guard_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.00","0.15","0.45","0.15","0.75","mdes_center100_middle_2019_2020_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\012_mdes_center100_middle_2019_2020_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\012_mdes_center100_middle_2019_2020_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_center100_middle_2019_2020_m1","ED1AAC51F7CE3334340C5D3EBFFCA85C2ACA2159333B0C2015D53465CBE8DE58","D7B119B5F8DA95BD95398FB534C2E96ECDE79CC1D6E75939C228510E9CE79F5E","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"13","mdes_center100","3","center","momentum_d1_ema_slope_guard_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","true","1.00","0.15","0.45","0.15","0.75","mdes_center100_recent_2021_2023_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\013_mdes_center100_recent_2021_2023_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\013_mdes_center100_recent_2021_2023_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_center100_recent_2021_2023_m1","EDD2B9D978DF5D6F54D48D5C48BFAB58118B6D8DF3354C5B53300DAACD91EFBA","D7B119B5F8DA95BD95398FB534C2E96ECDE79CC1D6E75939C228510E9CE79F5E","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"14","mdes_center100","3","center","momentum_d1_ema_slope_guard_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","true","1.00","0.15","0.45","0.15","0.75","mdes_center100_latest_2024_2026_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\014_mdes_center100_latest_2024_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\014_mdes_center100_latest_2024_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_center100_latest_2024_2026_m1","C07E3BBC47A4B7E2A5ECF0D7E65DFE9F568A4F8AD551E8B8E126BEEAEB5A6D02","D7B119B5F8DA95BD95398FB534C2E96ECDE79CC1D6E75939C228510E9CE79F5E","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"15","mdes_center100","3","center","momentum_d1_ema_slope_guard_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","true","1.00","0.15","0.45","0.15","0.75","mdes_center100_continuous_2015_2026_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\015_mdes_center100_continuous_2015_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\015_mdes_center100_continuous_2015_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_center100_continuous_2015_2026_m1","604EDA95FD1C024290E490EA1D08CA35B8C5C0D18561223519AD116ECCDB5EC3","D7B119B5F8DA95BD95398FB534C2E96ECDE79CC1D6E75939C228510E9CE79F5E","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"16","mdes_high125","4","upper_neighbor","momentum_d1_ema_slope_guard_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.25","0.15","0.45","0.15","0.75","mdes_high125_older_2015_2018_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\016_mdes_high125_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\016_mdes_high125_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_high125_older_2015_2018_m1","5D8D242B8A858BA397556B4693FBC7A1CB119DCA6FA0A0C5FEBAC27DAC5C00A8","ADDCEC750351C1D7138CAFF98E4390D409AAD9295C14A6D86BE5EA8764DE0680","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"17","mdes_high125","4","upper_neighbor","momentum_d1_ema_slope_guard_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.25","0.15","0.45","0.15","0.75","mdes_high125_middle_2019_2020_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\017_mdes_high125_middle_2019_2020_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\017_mdes_high125_middle_2019_2020_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_high125_middle_2019_2020_m1","41BD7409ADD694222570757B85372AE8137706FACC0FE7034697C2238D77D762","ADDCEC750351C1D7138CAFF98E4390D409AAD9295C14A6D86BE5EA8764DE0680","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"18","mdes_high125","4","upper_neighbor","momentum_d1_ema_slope_guard_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","true","1.25","0.15","0.45","0.15","0.75","mdes_high125_recent_2021_2023_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\018_mdes_high125_recent_2021_2023_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\018_mdes_high125_recent_2021_2023_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_high125_recent_2021_2023_m1","867E1060EDD31A861B5824A08886B5D233BBFE0CBD3D3E97848226521C04604E","ADDCEC750351C1D7138CAFF98E4390D409AAD9295C14A6D86BE5EA8764DE0680","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"19","mdes_high125","4","upper_neighbor","momentum_d1_ema_slope_guard_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","true","1.25","0.15","0.45","0.15","0.75","mdes_high125_latest_2024_2026_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\019_mdes_high125_latest_2024_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\019_mdes_high125_latest_2024_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_high125_latest_2024_2026_m1","F1C2D483FB0F776739D685D0EDD7F4B0D40CA9AAFBEEA919EE6D7B806230C911","ADDCEC750351C1D7138CAFF98E4390D409AAD9295C14A6D86BE5EA8764DE0680","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"20","mdes_high125","4","upper_neighbor","momentum_d1_ema_slope_guard_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","true","1.25","0.15","0.45","0.15","0.75","mdes_high125_continuous_2015_2026_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\020_mdes_high125_continuous_2015_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\020_mdes_high125_continuous_2015_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_high125_continuous_2015_2026_m1","49A3462CEBC971D7A1CF57C3926E557235570FEDDD15C7EEEBD20264E8C70407","ADDCEC750351C1D7138CAFF98E4390D409AAD9295C14A6D86BE5EA8764DE0680","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
