"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","StrongSignalRiskEnabled","RewardQualityEnabled","MinimumRiskReward","StrongRiskPercent","StrongBodyRatio","StrongLotCap","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"11","rqri_center150_070","4","center","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","1.50","0.70","0.25","0.15","rqri_center150_070_discovery_2019_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\011_rqri_center150_070_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\011_rqri_center150_070_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_center150_070_discovery_2019_2020_m1","73A7EF9521A6A3204C3B2C17CC4751123945E817EC6D0EC37418411AA0E95136","A1F00E46B8A8893F818837CA6F412703B4B96A414D37BD1A5DCFC806030E14AC","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"12","rqri_center150_070","4","center","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","1.50","0.70","0.25","0.15","rqri_center150_070_continuous_2015_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\012_rqri_center150_070_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\012_rqri_center150_070_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_center150_070_continuous_2015_2020_m1","2951A50540E44ACF9B0D5AB05B01C9577891109B767FF59F3816587AD04FA1FD","A1F00E46B8A8893F818837CA6F412703B4B96A414D37BD1A5DCFC806030E14AC","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"13","rqri_rr165","5","reward_upper","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","1.65","0.70","0.25","0.15","rqri_rr165_older_2015_2018_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\013_rqri_rr165_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\013_rqri_rr165_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr165_older_2015_2018_m1","3952BA4A84E1526DDAE840215DDF80F7BB5DC0D81369F6AD52D6AD56DF3251FC","E7CF0BE525D6C8067CCEFBB5663FD58CF4D6F3B894C54874BC0FB56C6C717FEB","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"14","rqri_rr165","5","reward_upper","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","1.65","0.70","0.25","0.15","rqri_rr165_discovery_2019_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\014_rqri_rr165_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\014_rqri_rr165_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr165_discovery_2019_2020_m1","1DDD9E1343D11F1CC56E246B38C337F66FBAF86C6D60460CAC8853A15BFAAF2B","E7CF0BE525D6C8067CCEFBB5663FD58CF4D6F3B894C54874BC0FB56C6C717FEB","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"15","rqri_rr165","5","reward_upper","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","1.65","0.70","0.25","0.15","rqri_rr165_continuous_2015_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\015_rqri_rr165_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\015_rqri_rr165_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr165_continuous_2015_2020_m1","2CCAC1B36A34BFAF33E1A4EEF3DF43D6921104146C127C3D0201D610B5CBC074","E7CF0BE525D6C8067CCEFBB5663FD58CF4D6F3B894C54874BC0FB56C6C717FEB","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"16","rqri_risk065","6","risk_lower","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","1.50","0.65","0.25","0.15","rqri_risk065_older_2015_2018_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\016_rqri_risk065_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\016_rqri_risk065_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk065_older_2015_2018_m1","4AAB26206C4028D658700AEC20EC56A4068C3293CCE90A920EF6BF4F332FAA60","BAF6102D893C2E7B105E5A00D7CD47E83B768C6F64D72C52F10926E90590B0C8","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"17","rqri_risk065","6","risk_lower","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","1.50","0.65","0.25","0.15","rqri_risk065_discovery_2019_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\017_rqri_risk065_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\017_rqri_risk065_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk065_discovery_2019_2020_m1","2B68743E652AE261CD937E056497DA0C746B619BC4938390D4D18778E1A67458","BAF6102D893C2E7B105E5A00D7CD47E83B768C6F64D72C52F10926E90590B0C8","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"18","rqri_risk065","6","risk_lower","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","1.50","0.65","0.25","0.15","rqri_risk065_continuous_2015_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\018_rqri_risk065_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\018_rqri_risk065_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk065_continuous_2015_2020_m1","65EB5A4737E63CC4E691304A6B8CE13EF52C15927C79AF2A2E5603439A035B05","BAF6102D893C2E7B105E5A00D7CD47E83B768C6F64D72C52F10926E90590B0C8","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"19","rqri_risk075","7","risk_upper","reversion_reward_quality_risk_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","1.50","0.75","0.25","0.15","rqri_risk075_older_2015_2018_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\019_rqri_risk075_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\019_rqri_risk075_older_2015_2018_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk075_older_2015_2018_m1","02D8B3B602DAE5EB5BFA01D31B1FCB2CF5AAE772084DCD2DC77933F508D3BA98","AD0D8B345D67C32B041DD02B0C8A657E0A94D2184C4000FFFDD5773FDF8C3E46","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"20","rqri_risk075","7","risk_upper","reversion_reward_quality_risk_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","1.50","0.75","0.25","0.15","rqri_risk075_discovery_2019_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\020_rqri_risk075_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\020_rqri_risk075_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk075_discovery_2019_2020_m1","37ACDDFDDBF1E746202DF1A1A0E6261FFD6873F0146F4542CAAF6AC830559F72","AD0D8B345D67C32B041DD02B0C8A657E0A94D2184C4000FFFDD5773FDF8C3E46","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
"21","rqri_risk075","7","risk_upper","reversion_reward_quality_risk_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","1.50","0.75","0.25","0.15","rqri_risk075_continuous_2015_2020_m1","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\021_rqri_risk075_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\configs\021_rqri_risk075_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk075_continuous_2015_2020_m1","0E1CE30E88CC5859CAC998FD2BE8ED88E8F0C8BF002245F5AB2B6BA28FBA9E7D","AD0D8B345D67C32B041DD02B0C8A657E0A94D2184C4000FFFDD5773FDF8C3E46","A300713711328CE221447E452B889C0A2F9E449E2BF721BE7E49E0A354A4C416","Discovery only. The 1.50 RR / 0.70% center must be positive in both eras, improve continuous net >=5% and CAGR >=0.10 point versus exact control, retain at least 98% of control net in each era and all control trades, PF/recovery/return-DD no worse than control, DD <=1.35% and <=control +0.15 point. At least three of the four fixed RR/risk neighbors must independently pass the same era-retention and non-worse efficiency gates with >=3% net and >=0.05-point CAGR growth. No threshold rescue, holdout, or Model 4 after failure."
