"QueueRank","Candidate","CandidateRank","Control","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RVRiskPercent","MORiskPercent","PortfolioOpenRiskPercent","StopRule"
"11","tpg_rv050_mo015","3","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv050_mo015.set","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\011_tpg_rv050_mo015_recent_2023_2026_m1.ini","tpg_rv050_mo015_recent_2023_2026_m1","profiles\tpg_rv050_mo015.set","0CAD5E1925B848BFC9DBCA462EDBA42975EEE90718344B8BFF3828E04FD40295","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"12","tpg_rv050_mo015","3","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv050_mo015.set","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\012_tpg_rv050_mo015_continuous_2015_2026_m1.ini","tpg_rv050_mo015_continuous_2015_2026_m1","profiles\tpg_rv050_mo015.set","0CAD5E1925B848BFC9DBCA462EDBA42975EEE90718344B8BFF3828E04FD40295","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"13","tpg_rv055_mo010","4","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv055_mo010.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_tpg_rv055_mo010_older_2015_2018_m1.ini","tpg_rv055_mo010_older_2015_2018_m1","profiles\tpg_rv055_mo010.set","09E6C51390B18D95F78ECD8EB5386C73B787C32985068F02122F9012473F3F13","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"14","tpg_rv055_mo010","4","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv055_mo010.set","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\014_tpg_rv055_mo010_middle_2019_2022_m1.ini","tpg_rv055_mo010_middle_2019_2022_m1","profiles\tpg_rv055_mo010.set","09E6C51390B18D95F78ECD8EB5386C73B787C32985068F02122F9012473F3F13","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"15","tpg_rv055_mo010","4","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv055_mo010.set","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\015_tpg_rv055_mo010_recent_2023_2026_m1.ini","tpg_rv055_mo010_recent_2023_2026_m1","profiles\tpg_rv055_mo010.set","09E6C51390B18D95F78ECD8EB5386C73B787C32985068F02122F9012473F3F13","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"16","tpg_rv055_mo010","4","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv055_mo010.set","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\016_tpg_rv055_mo010_continuous_2015_2026_m1.ini","tpg_rv055_mo010_continuous_2015_2026_m1","profiles\tpg_rv055_mo010.set","09E6C51390B18D95F78ECD8EB5386C73B787C32985068F02122F9012473F3F13","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"17","tpg_rv055_mo015","5","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv055_mo015.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\017_tpg_rv055_mo015_older_2015_2018_m1.ini","tpg_rv055_mo015_older_2015_2018_m1","profiles\tpg_rv055_mo015.set","FE230D7059A4E91AE9392FD2B2D276410129BD295DC4F7F2895E3E24E7106558","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"18","tpg_rv055_mo015","5","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv055_mo015.set","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\018_tpg_rv055_mo015_middle_2019_2022_m1.ini","tpg_rv055_mo015_middle_2019_2022_m1","profiles\tpg_rv055_mo015.set","FE230D7059A4E91AE9392FD2B2D276410129BD295DC4F7F2895E3E24E7106558","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"19","tpg_rv055_mo015","5","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv055_mo015.set","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\019_tpg_rv055_mo015_recent_2023_2026_m1.ini","tpg_rv055_mo015_recent_2023_2026_m1","profiles\tpg_rv055_mo015.set","FE230D7059A4E91AE9392FD2B2D276410129BD295DC4F7F2895E3E24E7106558","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"20","tpg_rv055_mo015","5","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv055_mo015.set","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\020_tpg_rv055_mo015_continuous_2015_2026_m1.ini","tpg_rv055_mo015_continuous_2015_2026_m1","profiles\tpg_rv055_mo015.set","FE230D7059A4E91AE9392FD2B2D276410129BD295DC4F7F2895E3E24E7106558","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"21","tpg_rv060_mo010","6","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv060_mo010.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\021_tpg_rv060_mo010_older_2015_2018_m1.ini","tpg_rv060_mo010_older_2015_2018_m1","profiles\tpg_rv060_mo010.set","30A2A386B6E2EBBA7DFC8AA0E803191C6A61C0F17E7CDCB2435CA351274F365D","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.60","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"22","tpg_rv060_mo010","6","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv060_mo010.set","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\022_tpg_rv060_mo010_middle_2019_2022_m1.ini","tpg_rv060_mo010_middle_2019_2022_m1","profiles\tpg_rv060_mo010.set","30A2A386B6E2EBBA7DFC8AA0E803191C6A61C0F17E7CDCB2435CA351274F365D","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.60","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"23","tpg_rv060_mo010","6","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv060_mo010.set","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\023_tpg_rv060_mo010_recent_2023_2026_m1.ini","tpg_rv060_mo010_recent_2023_2026_m1","profiles\tpg_rv060_mo010.set","30A2A386B6E2EBBA7DFC8AA0E803191C6A61C0F17E7CDCB2435CA351274F365D","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.60","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"24","tpg_rv060_mo010","6","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv060_mo010.set","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\024_tpg_rv060_mo010_continuous_2015_2026_m1.ini","tpg_rv060_mo010_continuous_2015_2026_m1","profiles\tpg_rv060_mo010.set","30A2A386B6E2EBBA7DFC8AA0E803191C6A61C0F17E7CDCB2435CA351274F365D","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.60","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"25","tpg_rv060_mo015","7","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv060_mo015.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_tpg_rv060_mo015_older_2015_2018_m1.ini","tpg_rv060_mo015_older_2015_2018_m1","profiles\tpg_rv060_mo015.set","5438D7BF0E29E9AD857176196F9D94555D610217D57B72C23700269BE00103DC","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.60","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"26","tpg_rv060_mo015","7","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv060_mo015.set","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\026_tpg_rv060_mo015_middle_2019_2022_m1.ini","tpg_rv060_mo015_middle_2019_2022_m1","profiles\tpg_rv060_mo015.set","5438D7BF0E29E9AD857176196F9D94555D610217D57B72C23700269BE00103DC","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.60","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"27","tpg_rv060_mo015","7","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv060_mo015.set","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\027_tpg_rv060_mo015_recent_2023_2026_m1.ini","tpg_rv060_mo015_recent_2023_2026_m1","profiles\tpg_rv060_mo015.set","5438D7BF0E29E9AD857176196F9D94555D610217D57B72C23700269BE00103DC","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.60","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
"28","tpg_rv060_mo015","7","False","transferable_portfolio_growth_allocation","1","growth_discovery_model1","tpg_rv060_mo015.set","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\028_tpg_rv060_mo015_continuous_2015_2026_m1.ini","tpg_rv060_mo015_continuous_2015_2026_m1","profiles\tpg_rv060_mo015.set","5438D7BF0E29E9AD857176196F9D94555D610217D57B72C23700269BE00103DC","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.60","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4."
