"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","LogTimestamp","RunnerStatus","Evidence"
"12","","may235","weak","weak","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","0","1000","2026-07-12T13:19:53","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_may235_q4_2025."
"13","","conflict_march","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1277.57","2277.57","2026-07-12T13:21:12","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_conflict_march_continuous_2024_2026."
"14","","conflict_march","train","train","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1277.57","2277.57","2026-07-12T13:21:38","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_conflict_march_full2024."
"15","","conflict_march","oos","oos","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T13:22:04","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_conflict_march_full2025."
"16","","conflict_march","recent","recent","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","893.69","1893.69","2026-07-12T13:22:51","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_conflict_march_ytd2026."
"17","","conflict_march","weak","weak","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","0","1000","2026-07-12T13:23:06","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_conflict_march_q4_2024."
"18","","conflict_march","weak","weak","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","0","1000","2026-07-12T13:23:22","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_conflict_march_q4_2025."
"19","","stable_mar1_may225","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1277.57","2277.57","2026-07-12T13:24:41","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_stable_mar1_may225_continuous_2024_2026."
"20","","stable_mar1_may225","train","train","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1277.57","2277.57","2026-07-12T13:25:06","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_stable_mar1_may225_full2024."
"21","","stable_mar1_may225","oos","oos","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T13:25:32","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_stable_mar1_may225_full2025."
"22","","stable_mar1_may225","recent","recent","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","158.91","1158.91","2026-07-12T13:26:18","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_stable_mar1_may225_ytd2026."
"23","","stable_mar1_may225","weak","weak","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","0","1000","2026-07-12T13:26:33","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_stable_mar1_may225_q4_2024."
"24","","stable_mar1_may225","weak","weak","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","0","1000","2026-07-12T13:26:49","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_stable_mar1_may225_q4_2025."
