"QueueRank","Candidate","CandidateRank","SourceType","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RunLabel","MinimumSweepATR","MinimumReclaimATR","WickToBodyRatio","UseTickVolumeFilter","MinimumVolumeRatio","UseMaximumADXFilter","MaximumADX","TakeProfitR","UseAsianMidpointTarget","EntryEndHour","StopRule"
"11","ars_reclaim05","4","independent_m15_asian_range_sweep","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_ars_reclaim05_repair_2019_2020_m1.ini","ars_reclaim05_repair_2019_2020_m1","profiles\ars_reclaim05.set","CB453E07BE5F53BD5093BDD4602C667C6FB9775F11E1FB1CFF209758A7918839","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.05","1.00","false","1.10","false","28.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"12","ars_reclaim05","4","independent_m15_asian_range_sweep","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_ars_reclaim05_continuous_2015_2020_m1.ini","ars_reclaim05_continuous_2015_2020_m1","profiles\ars_reclaim05.set","CB453E07BE5F53BD5093BDD4602C667C6FB9775F11E1FB1CFF209758A7918839","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.05","1.00","false","1.10","false","28.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"13","ars_wick15","5","independent_m15_asian_range_sweep","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_ars_wick15_older_2015_2018_m1.ini","ars_wick15_older_2015_2018_m1","profiles\ars_wick15.set","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.50","false","1.10","false","28.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"14","ars_wick15","5","independent_m15_asian_range_sweep","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_ars_wick15_repair_2019_2020_m1.ini","ars_wick15_repair_2019_2020_m1","profiles\ars_wick15.set","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.50","false","1.10","false","28.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"15","ars_wick15","5","independent_m15_asian_range_sweep","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_ars_wick15_continuous_2015_2020_m1.ini","ars_wick15_continuous_2015_2020_m1","profiles\ars_wick15.set","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.50","false","1.10","false","28.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"16","ars_volume105","6","independent_m15_asian_range_sweep","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_ars_volume105_older_2015_2018_m1.ini","ars_volume105_older_2015_2018_m1","profiles\ars_volume105.set","50B9C89AC3CBEE83D06B060C7F9F0C8805B66B93AEFDD9932034D1BA745DFCC0","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","true","1.05","false","28.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"17","ars_volume105","6","independent_m15_asian_range_sweep","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_ars_volume105_repair_2019_2020_m1.ini","ars_volume105_repair_2019_2020_m1","profiles\ars_volume105.set","50B9C89AC3CBEE83D06B060C7F9F0C8805B66B93AEFDD9932034D1BA745DFCC0","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","true","1.05","false","28.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"18","ars_volume105","6","independent_m15_asian_range_sweep","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_ars_volume105_continuous_2015_2020_m1.ini","ars_volume105_continuous_2015_2020_m1","profiles\ars_volume105.set","50B9C89AC3CBEE83D06B060C7F9F0C8805B66B93AEFDD9932034D1BA745DFCC0","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","true","1.05","false","28.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"19","ars_adx24","7","independent_m15_asian_range_sweep","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_ars_adx24_older_2015_2018_m1.ini","ars_adx24_older_2015_2018_m1","profiles\ars_adx24.set","9CA6F63087E32B07E116A958916371073BE011D668875F945AF502A2CCCF69A5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","true","24.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"20","ars_adx24","7","independent_m15_asian_range_sweep","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_ars_adx24_repair_2019_2020_m1.ini","ars_adx24_repair_2019_2020_m1","profiles\ars_adx24.set","9CA6F63087E32B07E116A958916371073BE011D668875F945AF502A2CCCF69A5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","true","24.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"21","ars_adx24","7","independent_m15_asian_range_sweep","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_ars_adx24_continuous_2015_2020_m1.ini","ars_adx24_continuous_2015_2020_m1","profiles\ars_adx24.set","9CA6F63087E32B07E116A958916371073BE011D668875F945AF502A2CCCF69A5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","true","24.0","1.50","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"22","ars_rr20","8","independent_m15_asian_range_sweep","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_ars_rr20_older_2015_2018_m1.ini","ars_rr20_older_2015_2018_m1","profiles\ars_rr20.set","1EE0BD245698AD47860FAB37F4043265C099709117274EE54BE8EB3752F641D9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","2.00","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"23","ars_rr20","8","independent_m15_asian_range_sweep","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_ars_rr20_repair_2019_2020_m1.ini","ars_rr20_repair_2019_2020_m1","profiles\ars_rr20.set","1EE0BD245698AD47860FAB37F4043265C099709117274EE54BE8EB3752F641D9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","2.00","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"24","ars_rr20","8","independent_m15_asian_range_sweep","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_ars_rr20_continuous_2015_2020_m1.ini","ars_rr20_continuous_2015_2020_m1","profiles\ars_rr20.set","1EE0BD245698AD47860FAB37F4043265C099709117274EE54BE8EB3752F641D9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","2.00","false","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"25","ars_midpoint","9","independent_m15_asian_range_sweep","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_ars_midpoint_older_2015_2018_m1.ini","ars_midpoint_older_2015_2018_m1","profiles\ars_midpoint.set","6FD87223240C2EAD1A14F85D730003C3896F6C98B6BA6BEE6B8DD91187729795","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","true","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"26","ars_midpoint","9","independent_m15_asian_range_sweep","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_ars_midpoint_repair_2019_2020_m1.ini","ars_midpoint_repair_2019_2020_m1","profiles\ars_midpoint.set","6FD87223240C2EAD1A14F85D730003C3896F6C98B6BA6BEE6B8DD91187729795","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","true","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"27","ars_midpoint","9","independent_m15_asian_range_sweep","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_ars_midpoint_continuous_2015_2020_m1.ini","ars_midpoint_continuous_2015_2020_m1","profiles\ars_midpoint.set","6FD87223240C2EAD1A14F85D730003C3896F6C98B6BA6BEE6B8DD91187729795","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","true","12","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"28","ars_entry10","10","independent_m15_asian_range_sweep","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_ars_entry10_older_2015_2018_m1.ini","ars_entry10_older_2015_2018_m1","profiles\ars_entry10.set","8EEA2DD5B60FF1B4ED749DE74BC3BC62AC793E8A1AC793553A5204FAD2FD707D","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","false","10","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"29","ars_entry10","10","independent_m15_asian_range_sweep","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_ars_entry10_repair_2019_2020_m1.ini","ars_entry10_repair_2019_2020_m1","profiles\ars_entry10.set","8EEA2DD5B60FF1B4ED749DE74BC3BC62AC793E8A1AC793553A5204FAD2FD707D","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","false","10","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"30","ars_entry10","10","independent_m15_asian_range_sweep","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_ars_entry10_continuous_2015_2020_m1.ini","ars_entry10_continuous_2015_2020_m1","profiles\ars_entry10.set","8EEA2DD5B60FF1B4ED749DE74BC3BC62AC793E8A1AC793553A5204FAD2FD707D","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","false","10","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
