"QueueRank","Candidate","Window","Model","PackageConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"11","mre_mo020_center","recent_2023_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\011_mre_mo020_center_recent_2023_2026_m1.ini","mre_mo020_center_recent_2023_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo020_center_recent_2023_2026_m1","20E8DEB7EF688EB368256908A8CA69F7C353793FD5EEEA3F16C995C918AB3C7A","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"12","mre_mo020_center","continuous_2015_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\012_mre_mo020_center_continuous_2015_2026_m1.ini","mre_mo020_center_continuous_2015_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo020_center_continuous_2015_2026_m1","20E8DEB7EF688EB368256908A8CA69F7C353793FD5EEEA3F16C995C918AB3C7A","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"13","mre_mo0225","older_2015_2018","1","outputs\rc2_momentum_risk_extension_model1_package\configs\013_mre_mo0225_older_2015_2018_m1.ini","mre_mo0225_older_2015_2018_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0225_older_2015_2018_m1","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"14","mre_mo0225","middle_2019_2022","1","outputs\rc2_momentum_risk_extension_model1_package\configs\014_mre_mo0225_middle_2019_2022_m1.ini","mre_mo0225_middle_2019_2022_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0225_middle_2019_2022_m1","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"15","mre_mo0225","recent_2023_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\015_mre_mo0225_recent_2023_2026_m1.ini","mre_mo0225_recent_2023_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0225_recent_2023_2026_m1","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"16","mre_mo0225","continuous_2015_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\016_mre_mo0225_continuous_2015_2026_m1.ini","mre_mo0225_continuous_2015_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0225_continuous_2015_2026_m1","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"17","mre_mo025","older_2015_2018","1","outputs\rc2_momentum_risk_extension_model1_package\configs\017_mre_mo025_older_2015_2018_m1.ini","mre_mo025_older_2015_2018_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo025_older_2015_2018_m1","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"18","mre_mo025","middle_2019_2022","1","outputs\rc2_momentum_risk_extension_model1_package\configs\018_mre_mo025_middle_2019_2022_m1.ini","mre_mo025_middle_2019_2022_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo025_middle_2019_2022_m1","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"19","mre_mo025","recent_2023_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\019_mre_mo025_recent_2023_2026_m1.ini","mre_mo025_recent_2023_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo025_recent_2023_2026_m1","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"20","mre_mo025","continuous_2015_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\020_mre_mo025_continuous_2015_2026_m1.ini","mre_mo025_continuous_2015_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo025_continuous_2015_2026_m1","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"21","mre_mo0275","older_2015_2018","1","outputs\rc2_momentum_risk_extension_model1_package\configs\021_mre_mo0275_older_2015_2018_m1.ini","mre_mo0275_older_2015_2018_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0275_older_2015_2018_m1","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"22","mre_mo0275","middle_2019_2022","1","outputs\rc2_momentum_risk_extension_model1_package\configs\022_mre_mo0275_middle_2019_2022_m1.ini","mre_mo0275_middle_2019_2022_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0275_middle_2019_2022_m1","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"23","mre_mo0275","recent_2023_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\023_mre_mo0275_recent_2023_2026_m1.ini","mre_mo0275_recent_2023_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0275_recent_2023_2026_m1","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"24","mre_mo0275","continuous_2015_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\024_mre_mo0275_continuous_2015_2026_m1.ini","mre_mo0275_continuous_2015_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0275_continuous_2015_2026_m1","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"25","mre_mo030","older_2015_2018","1","outputs\rc2_momentum_risk_extension_model1_package\configs\025_mre_mo030_older_2015_2018_m1.ini","mre_mo030_older_2015_2018_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo030_older_2015_2018_m1","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"26","mre_mo030","middle_2019_2022","1","outputs\rc2_momentum_risk_extension_model1_package\configs\026_mre_mo030_middle_2019_2022_m1.ini","mre_mo030_middle_2019_2022_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo030_middle_2019_2022_m1","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"27","mre_mo030","recent_2023_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\027_mre_mo030_recent_2023_2026_m1.ini","mre_mo030_recent_2023_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo030_recent_2023_2026_m1","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"28","mre_mo030","continuous_2015_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\028_mre_mo030_continuous_2015_2026_m1.ini","mre_mo030_continuous_2015_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo030_continuous_2015_2026_m1","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
