"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","EntryLookback","ExitLookback","TrailLookback","TrailATR","StopRule"
"11","h4ct_trail_55_20_l20_a25","4","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l20_a25.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_h4ct_trail_55_20_l20_a25_discovery_2019_2020_m1.ini","h4ct_trail_55_20_l20_a25_discovery_2019_2020_m1","profiles\h4ct_trail_55_20_l20_a25.set","1D20DEF8CB4915CBEF74CDB5E99BE7B4709131DD01CD24ABC40BFEADEBE6F202","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","20","2.50","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"12","h4ct_trail_55_20_l20_a25","4","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l20_a25.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_h4ct_trail_55_20_l20_a25_continuous_2015_2020_m1.ini","h4ct_trail_55_20_l20_a25_continuous_2015_2020_m1","profiles\h4ct_trail_55_20_l20_a25.set","1D20DEF8CB4915CBEF74CDB5E99BE7B4709131DD01CD24ABC40BFEADEBE6F202","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","20","2.50","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"13","h4ct_trail_55_20_l20_a30","5","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l20_a30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_h4ct_trail_55_20_l20_a30_older_2015_2018_m1.ini","h4ct_trail_55_20_l20_a30_older_2015_2018_m1","profiles\h4ct_trail_55_20_l20_a30.set","8226265E9E6117CE2E120F9093D28709327D01E32988D2F7C83EE65812A9AA04","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","20","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"14","h4ct_trail_55_20_l20_a30","5","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l20_a30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_h4ct_trail_55_20_l20_a30_discovery_2019_2020_m1.ini","h4ct_trail_55_20_l20_a30_discovery_2019_2020_m1","profiles\h4ct_trail_55_20_l20_a30.set","8226265E9E6117CE2E120F9093D28709327D01E32988D2F7C83EE65812A9AA04","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","20","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"15","h4ct_trail_55_20_l20_a30","5","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l20_a30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_h4ct_trail_55_20_l20_a30_continuous_2015_2020_m1.ini","h4ct_trail_55_20_l20_a30_continuous_2015_2020_m1","profiles\h4ct_trail_55_20_l20_a30.set","8226265E9E6117CE2E120F9093D28709327D01E32988D2F7C83EE65812A9AA04","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","20","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"16","h4ct_trail_55_20_l20_a35","6","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l20_a35.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_h4ct_trail_55_20_l20_a35_older_2015_2018_m1.ini","h4ct_trail_55_20_l20_a35_older_2015_2018_m1","profiles\h4ct_trail_55_20_l20_a35.set","2CFA9445E6E9E8ACEED02EE0E2C0D6275B963510644C44B35ED32C4C5871F17C","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","20","3.50","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"17","h4ct_trail_55_20_l20_a35","6","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l20_a35.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_h4ct_trail_55_20_l20_a35_discovery_2019_2020_m1.ini","h4ct_trail_55_20_l20_a35_discovery_2019_2020_m1","profiles\h4ct_trail_55_20_l20_a35.set","2CFA9445E6E9E8ACEED02EE0E2C0D6275B963510644C44B35ED32C4C5871F17C","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","20","3.50","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"18","h4ct_trail_55_20_l20_a35","6","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l20_a35.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_h4ct_trail_55_20_l20_a35_continuous_2015_2020_m1.ini","h4ct_trail_55_20_l20_a35_continuous_2015_2020_m1","profiles\h4ct_trail_55_20_l20_a35.set","2CFA9445E6E9E8ACEED02EE0E2C0D6275B963510644C44B35ED32C4C5871F17C","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","20","3.50","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"19","h4ct_trail_55_20_l30_a30","7","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l30_a30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_h4ct_trail_55_20_l30_a30_older_2015_2018_m1.ini","h4ct_trail_55_20_l30_a30_older_2015_2018_m1","profiles\h4ct_trail_55_20_l30_a30.set","53DFB0AD62BCCDC418A7D065BB1BF943C028D37AA3D7770B49B89364F8674DA3","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","30","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"20","h4ct_trail_55_20_l30_a30","7","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l30_a30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_h4ct_trail_55_20_l30_a30_discovery_2019_2020_m1.ini","h4ct_trail_55_20_l30_a30_discovery_2019_2020_m1","profiles\h4ct_trail_55_20_l30_a30.set","53DFB0AD62BCCDC418A7D065BB1BF943C028D37AA3D7770B49B89364F8674DA3","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","30","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"21","h4ct_trail_55_20_l30_a30","7","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l30_a30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_h4ct_trail_55_20_l30_a30_continuous_2015_2020_m1.ini","h4ct_trail_55_20_l30_a30_continuous_2015_2020_m1","profiles\h4ct_trail_55_20_l30_a30.set","53DFB0AD62BCCDC418A7D065BB1BF943C028D37AA3D7770B49B89364F8674DA3","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","30","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"22","h4ct_trail_80_40_l20_a30","8","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_80_40_l20_a30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_h4ct_trail_80_40_l20_a30_older_2015_2018_m1.ini","h4ct_trail_80_40_l20_a30_older_2015_2018_m1","profiles\h4ct_trail_80_40_l20_a30.set","23964188041721CE071C2EA072538C69B593B0D2D12A661B9C76F43A5F35ECEA","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","80","40","20","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"23","h4ct_trail_80_40_l20_a30","8","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_80_40_l20_a30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_h4ct_trail_80_40_l20_a30_discovery_2019_2020_m1.ini","h4ct_trail_80_40_l20_a30_discovery_2019_2020_m1","profiles\h4ct_trail_80_40_l20_a30.set","23964188041721CE071C2EA072538C69B593B0D2D12A661B9C76F43A5F35ECEA","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","80","40","20","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"24","h4ct_trail_80_40_l20_a30","8","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_80_40_l20_a30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_h4ct_trail_80_40_l20_a30_continuous_2015_2020_m1.ini","h4ct_trail_80_40_l20_a30_continuous_2015_2020_m1","profiles\h4ct_trail_80_40_l20_a30.set","23964188041721CE071C2EA072538C69B593B0D2D12A661B9C76F43A5F35ECEA","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","80","40","20","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
