"QueueRank","Candidate","SourceType","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","SourceSha256","StopRule","Rationale"
"11","dfa_lb_off_throttle025","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle025.set","2019_full","2019.01.01","2019.12.31","1","configs\011_dfa_lb_off_throttle025_2019_full_m1.ini","broker_risk_dfa_lb_off_throttle025_2019_full_m1","profiles\dfa_lb_off_throttle025.set","779C0D0AE0B7DADEE87E80BD0DF9C7CB98ADE6BDAF8936B119EC445851D3BA3B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.25 risk until the 5% closed-profit cushion."
"12","dfa_lb_off_throttle025","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle025.set","2020_full","2020.01.01","2020.12.31","1","configs\012_dfa_lb_off_throttle025_2020_full_m1.ini","broker_risk_dfa_lb_off_throttle025_2020_full_m1","profiles\dfa_lb_off_throttle025.set","779C0D0AE0B7DADEE87E80BD0DF9C7CB98ADE6BDAF8936B119EC445851D3BA3B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.25 risk until the 5% closed-profit cushion."
"13","dfa_lb_off_throttle025","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle025.set","2021_full","2021.01.01","2021.12.31","1","configs\013_dfa_lb_off_throttle025_2021_full_m1.ini","broker_risk_dfa_lb_off_throttle025_2021_full_m1","profiles\dfa_lb_off_throttle025.set","779C0D0AE0B7DADEE87E80BD0DF9C7CB98ADE6BDAF8936B119EC445851D3BA3B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.25 risk until the 5% closed-profit cushion."
"14","dfa_lb_off_throttle025","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle025.set","2022_full","2022.01.01","2022.12.31","1","configs\014_dfa_lb_off_throttle025_2022_full_m1.ini","broker_risk_dfa_lb_off_throttle025_2022_full_m1","profiles\dfa_lb_off_throttle025.set","779C0D0AE0B7DADEE87E80BD0DF9C7CB98ADE6BDAF8936B119EC445851D3BA3B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.25 risk until the 5% closed-profit cushion."
"15","dfa_lb_off_throttle025","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle025.set","2023_full","2023.01.01","2023.12.31","1","configs\015_dfa_lb_off_throttle025_2023_full_m1.ini","broker_risk_dfa_lb_off_throttle025_2023_full_m1","profiles\dfa_lb_off_throttle025.set","779C0D0AE0B7DADEE87E80BD0DF9C7CB98ADE6BDAF8936B119EC445851D3BA3B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.25 risk until the 5% closed-profit cushion."
"16","dfa_lb_off_throttle025","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle025.set","2024_full","2024.01.01","2024.12.31","1","configs\016_dfa_lb_off_throttle025_2024_full_m1.ini","broker_risk_dfa_lb_off_throttle025_2024_full_m1","profiles\dfa_lb_off_throttle025.set","779C0D0AE0B7DADEE87E80BD0DF9C7CB98ADE6BDAF8936B119EC445851D3BA3B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.25 risk until the 5% closed-profit cushion."
"17","dfa_lb_off_throttle025","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle025.set","2025_full","2025.01.01","2025.12.31","1","configs\017_dfa_lb_off_throttle025_2025_full_m1.ini","broker_risk_dfa_lb_off_throttle025_2025_full_m1","profiles\dfa_lb_off_throttle025.set","779C0D0AE0B7DADEE87E80BD0DF9C7CB98ADE6BDAF8936B119EC445851D3BA3B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.25 risk until the 5% closed-profit cushion."
"18","dfa_lb_off_throttle025","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle025.set","2026_ytd","2026.01.01","2026.07.12","1","configs\018_dfa_lb_off_throttle025_2026_ytd_m1.ini","broker_risk_dfa_lb_off_throttle025_2026_ytd_m1","profiles\dfa_lb_off_throttle025.set","779C0D0AE0B7DADEE87E80BD0DF9C7CB98ADE6BDAF8936B119EC445851D3BA3B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.25 risk until the 5% closed-profit cushion."
"19","dfa_lb_off_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle050.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\019_dfa_lb_off_throttle050_continuous_2019_2026_m1.ini","broker_risk_dfa_lb_off_throttle050_continuous_2019_2026_m1","profiles\dfa_lb_off_throttle050.set","499E9B14FA7FBBF3DED298F6F92C896C5FE4FC6FC1E1211C300D29B945A0DD4E","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.50 risk until the 5% closed-profit cushion."
"20","dfa_lb_off_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle050.set","2019_full","2019.01.01","2019.12.31","1","configs\020_dfa_lb_off_throttle050_2019_full_m1.ini","broker_risk_dfa_lb_off_throttle050_2019_full_m1","profiles\dfa_lb_off_throttle050.set","499E9B14FA7FBBF3DED298F6F92C896C5FE4FC6FC1E1211C300D29B945A0DD4E","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.50 risk until the 5% closed-profit cushion."
"21","dfa_lb_off_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle050.set","2020_full","2020.01.01","2020.12.31","1","configs\021_dfa_lb_off_throttle050_2020_full_m1.ini","broker_risk_dfa_lb_off_throttle050_2020_full_m1","profiles\dfa_lb_off_throttle050.set","499E9B14FA7FBBF3DED298F6F92C896C5FE4FC6FC1E1211C300D29B945A0DD4E","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.50 risk until the 5% closed-profit cushion."
"22","dfa_lb_off_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle050.set","2021_full","2021.01.01","2021.12.31","1","configs\022_dfa_lb_off_throttle050_2021_full_m1.ini","broker_risk_dfa_lb_off_throttle050_2021_full_m1","profiles\dfa_lb_off_throttle050.set","499E9B14FA7FBBF3DED298F6F92C896C5FE4FC6FC1E1211C300D29B945A0DD4E","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.50 risk until the 5% closed-profit cushion."
"23","dfa_lb_off_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle050.set","2022_full","2022.01.01","2022.12.31","1","configs\023_dfa_lb_off_throttle050_2022_full_m1.ini","broker_risk_dfa_lb_off_throttle050_2022_full_m1","profiles\dfa_lb_off_throttle050.set","499E9B14FA7FBBF3DED298F6F92C896C5FE4FC6FC1E1211C300D29B945A0DD4E","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.50 risk until the 5% closed-profit cushion."
"24","dfa_lb_off_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle050.set","2023_full","2023.01.01","2023.12.31","1","configs\024_dfa_lb_off_throttle050_2023_full_m1.ini","broker_risk_dfa_lb_off_throttle050_2023_full_m1","profiles\dfa_lb_off_throttle050.set","499E9B14FA7FBBF3DED298F6F92C896C5FE4FC6FC1E1211C300D29B945A0DD4E","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.50 risk until the 5% closed-profit cushion."
"25","dfa_lb_off_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle050.set","2024_full","2024.01.01","2024.12.31","1","configs\025_dfa_lb_off_throttle050_2024_full_m1.ini","broker_risk_dfa_lb_off_throttle050_2024_full_m1","profiles\dfa_lb_off_throttle050.set","499E9B14FA7FBBF3DED298F6F92C896C5FE4FC6FC1E1211C300D29B945A0DD4E","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.50 risk until the 5% closed-profit cushion."
"26","dfa_lb_off_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle050.set","2025_full","2025.01.01","2025.12.31","1","configs\026_dfa_lb_off_throttle050_2025_full_m1.ini","broker_risk_dfa_lb_off_throttle050_2025_full_m1","profiles\dfa_lb_off_throttle050.set","499E9B14FA7FBBF3DED298F6F92C896C5FE4FC6FC1E1211C300D29B945A0DD4E","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.50 risk until the 5% closed-profit cushion."
"27","dfa_lb_off_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle050.set","2026_ytd","2026.01.01","2026.07.12","1","configs\027_dfa_lb_off_throttle050_2026_ytd_m1.ini","broker_risk_dfa_lb_off_throttle050_2026_ytd_m1","profiles\dfa_lb_off_throttle050.set","499E9B14FA7FBBF3DED298F6F92C896C5FE4FC6FC1E1211C300D29B945A0DD4E","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.50 risk until the 5% closed-profit cushion."
"28","dfa_lb_off_throttle075","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle075.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\028_dfa_lb_off_throttle075_continuous_2019_2026_m1.ini","broker_risk_dfa_lb_off_throttle075_continuous_2019_2026_m1","profiles\dfa_lb_off_throttle075.set","722844209F650B8141A58A260D0D82235660D7F5E1023068FD76F852509FB4C8","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.75 risk until the 5% closed-profit cushion."
"29","dfa_lb_off_throttle075","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle075.set","2019_full","2019.01.01","2019.12.31","1","configs\029_dfa_lb_off_throttle075_2019_full_m1.ini","broker_risk_dfa_lb_off_throttle075_2019_full_m1","profiles\dfa_lb_off_throttle075.set","722844209F650B8141A58A260D0D82235660D7F5E1023068FD76F852509FB4C8","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.75 risk until the 5% closed-profit cushion."
"30","dfa_lb_off_throttle075","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle075.set","2020_full","2020.01.01","2020.12.31","1","configs\030_dfa_lb_off_throttle075_2020_full_m1.ini","broker_risk_dfa_lb_off_throttle075_2020_full_m1","profiles\dfa_lb_off_throttle075.set","722844209F650B8141A58A260D0D82235660D7F5E1023068FD76F852509FB4C8","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.75 risk until the 5% closed-profit cushion."
"31","dfa_lb_off_throttle075","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle075.set","2021_full","2021.01.01","2021.12.31","1","configs\031_dfa_lb_off_throttle075_2021_full_m1.ini","broker_risk_dfa_lb_off_throttle075_2021_full_m1","profiles\dfa_lb_off_throttle075.set","722844209F650B8141A58A260D0D82235660D7F5E1023068FD76F852509FB4C8","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.75 risk until the 5% closed-profit cushion."
"32","dfa_lb_off_throttle075","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle075.set","2022_full","2022.01.01","2022.12.31","1","configs\032_dfa_lb_off_throttle075_2022_full_m1.ini","broker_risk_dfa_lb_off_throttle075_2022_full_m1","profiles\dfa_lb_off_throttle075.set","722844209F650B8141A58A260D0D82235660D7F5E1023068FD76F852509FB4C8","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.75 risk until the 5% closed-profit cushion."
"33","dfa_lb_off_throttle075","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle075.set","2023_full","2023.01.01","2023.12.31","1","configs\033_dfa_lb_off_throttle075_2023_full_m1.ini","broker_risk_dfa_lb_off_throttle075_2023_full_m1","profiles\dfa_lb_off_throttle075.set","722844209F650B8141A58A260D0D82235660D7F5E1023068FD76F852509FB4C8","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.75 risk until the 5% closed-profit cushion."
"34","dfa_lb_off_throttle075","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle075.set","2024_full","2024.01.01","2024.12.31","1","configs\034_dfa_lb_off_throttle075_2024_full_m1.ini","broker_risk_dfa_lb_off_throttle075_2024_full_m1","profiles\dfa_lb_off_throttle075.set","722844209F650B8141A58A260D0D82235660D7F5E1023068FD76F852509FB4C8","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.75 risk until the 5% closed-profit cushion."
"35","dfa_lb_off_throttle075","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle075.set","2025_full","2025.01.01","2025.12.31","1","configs\035_dfa_lb_off_throttle075_2025_full_m1.ini","broker_risk_dfa_lb_off_throttle075_2025_full_m1","profiles\dfa_lb_off_throttle075.set","722844209F650B8141A58A260D0D82235660D7F5E1023068FD76F852509FB4C8","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.75 risk until the 5% closed-profit cushion."
"36","dfa_lb_off_throttle075","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle075.set","2026_ytd","2026.01.01","2026.07.12","1","configs\036_dfa_lb_off_throttle075_2026_ytd_m1.ini","broker_risk_dfa_lb_off_throttle075_2026_ytd_m1","profiles\dfa_lb_off_throttle075.set","722844209F650B8141A58A260D0D82235660D7F5E1023068FD76F852509FB4C8","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.75 risk until the 5% closed-profit cushion."
"37","dfa_lb_off_fullrisk","broker_risk_sizing_probe","fast_model1","dfa_lb_off_fullrisk.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\037_dfa_lb_off_fullrisk_continuous_2019_2026_m1.ini","broker_risk_dfa_lb_off_fullrisk_continuous_2019_2026_m1","profiles\dfa_lb_off_fullrisk.set","416A01ADD916C2EE95BE5D7A76B46B1C45454844CFDF4555CC42DF19DC48BF15","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block and cushion throttle off; standalone sweeps off; hard 1.00% effective-risk cap."
