"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","MomentumChannelExitEnabled","MomentumFailureExitEnabled","MomentumMaximumHoldBars","ReversionRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"11","mea_no_time","4","single_ablation","momentum_exit_ablation_diagnostic_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","0","0.45","0.75","mea_no_time_later_2019_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\011_mea_no_time_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\011_mea_no_time_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_no_time_later_2019_2020_m1","E5F2085E10FBE0690E27CE4B3F8D640579B3FC70BAC5801439F73A5D30346043","D99121A4C0963DAB55C6A1AB0D102EFD18CD2545557DFF898B853FFE14660E4A","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"12","mea_no_time","4","single_ablation","momentum_exit_ablation_diagnostic_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","0","0.45","0.75","mea_no_time_continuous_2015_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\012_mea_no_time_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\012_mea_no_time_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_no_time_continuous_2015_2020_m1","823A9977FA9BF4483DF297C99A6BBD15EBBCF7F27E4FDEAB04A16CE58B7B7A07","D99121A4C0963DAB55C6A1AB0D102EFD18CD2545557DFF898B853FFE14660E4A","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"13","mea_channel_only","5","isolated_exit","momentum_exit_ablation_diagnostic_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","false","0","0.45","0.75","mea_channel_only_older_2015_2018_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\013_mea_channel_only_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\013_mea_channel_only_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_channel_only_older_2015_2018_m1","033488865EF4AA461E75C373133DF16F2A8FD42325F51010BCABF32678CEF7CC","91DE3DF438BE39C1A21AE40B8645B26BE2C451BDF936C74602CA703AC8A7B701","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"14","mea_channel_only","5","isolated_exit","momentum_exit_ablation_diagnostic_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","false","0","0.45","0.75","mea_channel_only_later_2019_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\014_mea_channel_only_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\014_mea_channel_only_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_channel_only_later_2019_2020_m1","A6966584ED1F324434838B08EA32BC5C91F5F5942EBD506BB2170DF019D08F10","91DE3DF438BE39C1A21AE40B8645B26BE2C451BDF936C74602CA703AC8A7B701","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"15","mea_channel_only","5","isolated_exit","momentum_exit_ablation_diagnostic_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","false","0","0.45","0.75","mea_channel_only_continuous_2015_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\015_mea_channel_only_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\015_mea_channel_only_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_channel_only_continuous_2015_2020_m1","9B7CB049626AAF284BB973F07DD9069D48CA258369A04E5B6FF445C44815BC22","91DE3DF438BE39C1A21AE40B8645B26BE2C451BDF936C74602CA703AC8A7B701","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"16","mea_momentum_only","6","isolated_exit","momentum_exit_ablation_diagnostic_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","true","0","0.45","0.75","mea_momentum_only_older_2015_2018_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\016_mea_momentum_only_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\016_mea_momentum_only_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_momentum_only_older_2015_2018_m1","9D4010025174BE1E5F4E60E87500CFB2320426CDC638474B288D471E22866DA4","D59464DE4C4F2D6C6D40F4D1484EB81B15F8BEFDF71247C39F35813C1FF3BB44","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"17","mea_momentum_only","6","isolated_exit","momentum_exit_ablation_diagnostic_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","false","true","0","0.45","0.75","mea_momentum_only_later_2019_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\017_mea_momentum_only_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\017_mea_momentum_only_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_momentum_only_later_2019_2020_m1","675C2F93B09CCFA9CEA0C3B21A79A1E6655BF7E4B7A690D1F7943F505DB631BE","D59464DE4C4F2D6C6D40F4D1484EB81B15F8BEFDF71247C39F35813C1FF3BB44","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"18","mea_momentum_only","6","isolated_exit","momentum_exit_ablation_diagnostic_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","true","0","0.45","0.75","mea_momentum_only_continuous_2015_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\018_mea_momentum_only_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\018_mea_momentum_only_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_momentum_only_continuous_2015_2020_m1","2047462E7DF05E03A375049D30E7355E051BD6BA266E57DCA73894006556836D","D59464DE4C4F2D6C6D40F4D1484EB81B15F8BEFDF71247C39F35813C1FF3BB44","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"19","mea_time_only","7","isolated_exit","momentum_exit_ablation_diagnostic_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","false","120","0.45","0.75","mea_time_only_older_2015_2018_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\019_mea_time_only_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\019_mea_time_only_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_time_only_older_2015_2018_m1","D8FC77F84DFEFCD9A516C49E5A6A1B6F6CE06CBDF072B83C5C04208CE3C2D592","6169AEE81752E70F9C980A71926BB127F80938CCED0681E22D0E03D6B945FD1B","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"20","mea_time_only","7","isolated_exit","momentum_exit_ablation_diagnostic_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","false","false","120","0.45","0.75","mea_time_only_later_2019_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\020_mea_time_only_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\020_mea_time_only_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_time_only_later_2019_2020_m1","04EC5C3E5EBC22D3C809AE388AF3555B26998D973204FF8E6A4544EB108D6127","6169AEE81752E70F9C980A71926BB127F80938CCED0681E22D0E03D6B945FD1B","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"21","mea_time_only","7","isolated_exit","momentum_exit_ablation_diagnostic_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","false","120","0.45","0.75","mea_time_only_continuous_2015_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\021_mea_time_only_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\021_mea_time_only_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_time_only_continuous_2015_2020_m1","EDB4A97E4BA6A7784E882F9EA978DDB3724DDE82907A0248A5974719CE79FDBF","6169AEE81752E70F9C980A71926BB127F80938CCED0681E22D0E03D6B945FD1B","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"22","mea_fixed_only","8","fixed_stop_target_only","momentum_exit_ablation_diagnostic_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","false","0","0.45","0.75","mea_fixed_only_older_2015_2018_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\022_mea_fixed_only_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\022_mea_fixed_only_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_fixed_only_older_2015_2018_m1","4A6048CE6D01BF803D37BF3161B8DE868F03465EA6F0808F2F13CAC450702464","8DD0E66A0C4661991A716FFDFDF0E9BA909BAB646FCC4B2BB26BF6D71A822B03","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"23","mea_fixed_only","8","fixed_stop_target_only","momentum_exit_ablation_diagnostic_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","false","false","0","0.45","0.75","mea_fixed_only_later_2019_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\023_mea_fixed_only_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\023_mea_fixed_only_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_fixed_only_later_2019_2020_m1","F64CC28F49B4080E41FF78AAF5132DDEFDA048D51A486E90F11D71F53E30CE2A","8DD0E66A0C4661991A716FFDFDF0E9BA909BAB646FCC4B2BB26BF6D71A822B03","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"24","mea_fixed_only","8","fixed_stop_target_only","momentum_exit_ablation_diagnostic_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","false","0","0.45","0.75","mea_fixed_only_continuous_2015_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\024_mea_fixed_only_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\024_mea_fixed_only_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_fixed_only_continuous_2015_2020_m1","D6A2C6A2EB3CBB42912665E708BEF60F8A003964BEFE5B36DAF35B032E242E56","8DD0E66A0C4661991A716FFDFDF0E9BA909BAB646FCC4B2BB26BF6D71A822B03","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
