"QueueRank","Rank","Candidate","Profile","Phase","Set","Window","From","To","Model","Deposit","PackageConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","RunLabel","StopRule"
"11","11","rsg_mo015_body25","rsg_mo015_body25","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\011_rsg_mo015_body25_repair_2020_m1.ini","rsg_mo015_body25_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_body25_repair_2020_m1","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"12","12","rsg_mo015_body25","rsg_mo015_body25","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\012_rsg_mo015_body25_continuous_2015_2020_m1.ini","rsg_mo015_body25_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_body25_continuous_2015_2020_m1","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"13","13","rsg_mo015_combo20","rsg_mo015_combo20","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\013_rsg_mo015_combo20_older_2015_2018_m1.ini","rsg_mo015_combo20_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo20_older_2015_2018_m1","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"14","14","rsg_mo015_combo20","rsg_mo015_combo20","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\014_rsg_mo015_combo20_repair_2019_m1.ini","rsg_mo015_combo20_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo20_repair_2019_m1","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"15","15","rsg_mo015_combo20","rsg_mo015_combo20","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\015_rsg_mo015_combo20_repair_2020_m1.ini","rsg_mo015_combo20_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo20_repair_2020_m1","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"16","16","rsg_mo015_combo20","rsg_mo015_combo20","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\016_rsg_mo015_combo20_continuous_2015_2020_m1.ini","rsg_mo015_combo20_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo20_continuous_2015_2020_m1","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"17","17","rsg_mo015_combo25","rsg_mo015_combo25","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\017_rsg_mo015_combo25_older_2015_2018_m1.ini","rsg_mo015_combo25_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_older_2015_2018_m1","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"18","18","rsg_mo015_combo25","rsg_mo015_combo25","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\018_rsg_mo015_combo25_repair_2019_m1.ini","rsg_mo015_combo25_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_repair_2019_m1","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"19","19","rsg_mo015_combo25","rsg_mo015_combo25","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\019_rsg_mo015_combo25_repair_2020_m1.ini","rsg_mo015_combo25_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_repair_2020_m1","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"20","20","rsg_mo015_combo25","rsg_mo015_combo25","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\020_rsg_mo015_combo25_continuous_2015_2020_m1.ini","rsg_mo015_combo25_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_continuous_2015_2020_m1","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"21","21","rsg_mo015_combo30","rsg_mo015_combo30","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\021_rsg_mo015_combo30_older_2015_2018_m1.ini","rsg_mo015_combo30_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo30_older_2015_2018_m1","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"22","22","rsg_mo015_combo30","rsg_mo015_combo30","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\022_rsg_mo015_combo30_repair_2019_m1.ini","rsg_mo015_combo30_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo30_repair_2019_m1","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"23","23","rsg_mo015_combo30","rsg_mo015_combo30","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\023_rsg_mo015_combo30_repair_2020_m1.ini","rsg_mo015_combo30_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo30_repair_2020_m1","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"24","24","rsg_mo015_combo30","rsg_mo015_combo30","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\024_rsg_mo015_combo30_continuous_2015_2020_m1.ini","rsg_mo015_combo30_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo30_continuous_2015_2020_m1","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"25","25","rsg_mo015_combo25_di08","rsg_mo015_combo25_di08","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\025_rsg_mo015_combo25_di08_older_2015_2018_m1.ini","rsg_mo015_combo25_di08_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_di08_older_2015_2018_m1","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"26","26","rsg_mo015_combo25_di08","rsg_mo015_combo25_di08","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\026_rsg_mo015_combo25_di08_repair_2019_m1.ini","rsg_mo015_combo25_di08_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_di08_repair_2019_m1","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"27","27","rsg_mo015_combo25_di08","rsg_mo015_combo25_di08","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\027_rsg_mo015_combo25_di08_repair_2020_m1.ini","rsg_mo015_combo25_di08_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_di08_repair_2020_m1","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"28","28","rsg_mo015_combo25_di08","rsg_mo015_combo25_di08","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\028_rsg_mo015_combo25_di08_continuous_2015_2020_m1.ini","rsg_mo015_combo25_di08_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_di08_continuous_2015_2020_m1","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"29","29","rsg_mo020_control","rsg_mo020_control","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\029_rsg_mo020_control_older_2015_2018_m1.ini","rsg_mo020_control_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_control_older_2015_2018_m1","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"30","30","rsg_mo020_control","rsg_mo020_control","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\030_rsg_mo020_control_repair_2019_m1.ini","rsg_mo020_control_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_control_repair_2019_m1","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"31","31","rsg_mo020_control","rsg_mo020_control","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\031_rsg_mo020_control_repair_2020_m1.ini","rsg_mo020_control_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_control_repair_2020_m1","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"32","32","rsg_mo020_control","rsg_mo020_control","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\032_rsg_mo020_control_continuous_2015_2020_m1.ini","rsg_mo020_control_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_control_continuous_2015_2020_m1","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
