"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","RVUseMinimumBodyGate","RVMinimumBodyPercent","PortfolioOpenRiskPercent","StopRule"
"11","rsg_mo015_body25","3","body_only","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\011_rsg_mo015_body25_repair_2020_m1.ini","rsg_mo015_body25_repair_2020_m1","profiles\rsg_mo015_body25.set","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"12","rsg_mo015_body25","3","body_only","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_rsg_mo015_body25_continuous_2015_2020_m1.ini","rsg_mo015_body25_continuous_2015_2020_m1","profiles\rsg_mo015_body25.set","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"13","rsg_mo015_combo20","4","lower_body_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_rsg_mo015_combo20_older_2015_2018_m1.ini","rsg_mo015_combo20_older_2015_2018_m1","profiles\rsg_mo015_combo20.set","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","20.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"14","rsg_mo015_combo20","4","lower_body_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\014_rsg_mo015_combo20_repair_2019_m1.ini","rsg_mo015_combo20_repair_2019_m1","profiles\rsg_mo015_combo20.set","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","20.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"15","rsg_mo015_combo20","4","lower_body_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\015_rsg_mo015_combo20_repair_2020_m1.ini","rsg_mo015_combo20_repair_2020_m1","profiles\rsg_mo015_combo20.set","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","20.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"16","rsg_mo015_combo20","4","lower_body_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\016_rsg_mo015_combo20_continuous_2015_2020_m1.ini","rsg_mo015_combo20_continuous_2015_2020_m1","profiles\rsg_mo015_combo20.set","7FFE666A7FC4D030234F523A36C9983150ED444A3A1FDB13510E9EB218F9F53A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","20.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"17","rsg_mo015_combo25","5","center","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\017_rsg_mo015_combo25_older_2015_2018_m1.ini","rsg_mo015_combo25_older_2015_2018_m1","profiles\rsg_mo015_combo25.set","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"18","rsg_mo015_combo25","5","center","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\018_rsg_mo015_combo25_repair_2019_m1.ini","rsg_mo015_combo25_repair_2019_m1","profiles\rsg_mo015_combo25.set","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"19","rsg_mo015_combo25","5","center","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\019_rsg_mo015_combo25_repair_2020_m1.ini","rsg_mo015_combo25_repair_2020_m1","profiles\rsg_mo015_combo25.set","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"20","rsg_mo015_combo25","5","center","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\020_rsg_mo015_combo25_continuous_2015_2020_m1.ini","rsg_mo015_combo25_continuous_2015_2020_m1","profiles\rsg_mo015_combo25.set","9D4A8973B10B429B482E4EA475D6803959B5BB26E8BF48361089AA804294B984","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"21","rsg_mo015_combo30","6","upper_body_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\021_rsg_mo015_combo30_older_2015_2018_m1.ini","rsg_mo015_combo30_older_2015_2018_m1","profiles\rsg_mo015_combo30.set","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","30.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"22","rsg_mo015_combo30","6","upper_body_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\022_rsg_mo015_combo30_repair_2019_m1.ini","rsg_mo015_combo30_repair_2019_m1","profiles\rsg_mo015_combo30.set","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","30.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"23","rsg_mo015_combo30","6","upper_body_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\023_rsg_mo015_combo30_repair_2020_m1.ini","rsg_mo015_combo30_repair_2020_m1","profiles\rsg_mo015_combo30.set","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","30.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"24","rsg_mo015_combo30","6","upper_body_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_rsg_mo015_combo30_continuous_2015_2020_m1.ini","rsg_mo015_combo30_continuous_2015_2020_m1","profiles\rsg_mo015_combo30.set","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","30.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"25","rsg_mo015_combo25_di08","7","strict_di_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_rsg_mo015_combo25_di08_older_2015_2018_m1.ini","rsg_mo015_combo25_di08_older_2015_2018_m1","profiles\rsg_mo015_combo25_di08.set","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-8.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"26","rsg_mo015_combo25_di08","7","strict_di_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\026_rsg_mo015_combo25_di08_repair_2019_m1.ini","rsg_mo015_combo25_di08_repair_2019_m1","profiles\rsg_mo015_combo25_di08.set","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-8.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"27","rsg_mo015_combo25_di08","7","strict_di_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\027_rsg_mo015_combo25_di08_repair_2020_m1.ini","rsg_mo015_combo25_di08_repair_2020_m1","profiles\rsg_mo015_combo25_di08.set","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-8.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"28","rsg_mo015_combo25_di08","7","strict_di_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\028_rsg_mo015_combo25_di08_continuous_2015_2020_m1.ini","rsg_mo015_combo25_di08_continuous_2015_2020_m1","profiles\rsg_mo015_combo25_di08.set","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-8.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"29","rsg_mo020_control","8","control","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\029_rsg_mo020_control_older_2015_2018_m1.ini","rsg_mo020_control_older_2015_2018_m1","profiles\rsg_mo020_control.set","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"30","rsg_mo020_control","8","control","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\030_rsg_mo020_control_repair_2019_m1.ini","rsg_mo020_control_repair_2019_m1","profiles\rsg_mo020_control.set","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"31","rsg_mo020_control","8","control","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\031_rsg_mo020_control_repair_2020_m1.ini","rsg_mo020_control_repair_2020_m1","profiles\rsg_mo020_control.set","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"32","rsg_mo020_control","8","control","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\032_rsg_mo020_control_continuous_2015_2020_m1.ini","rsg_mo020_control_continuous_2015_2020_m1","profiles\rsg_mo020_control.set","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"33","rsg_mo020_di10","9","di_only","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\033_rsg_mo020_di10_older_2015_2018_m1.ini","rsg_mo020_di10_older_2015_2018_m1","profiles\rsg_mo020_di10.set","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"34","rsg_mo020_di10","9","di_only","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\034_rsg_mo020_di10_repair_2019_m1.ini","rsg_mo020_di10_repair_2019_m1","profiles\rsg_mo020_di10.set","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"35","rsg_mo020_di10","9","di_only","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\035_rsg_mo020_di10_repair_2020_m1.ini","rsg_mo020_di10_repair_2020_m1","profiles\rsg_mo020_di10.set","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"36","rsg_mo020_di10","9","di_only","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_rsg_mo020_di10_continuous_2015_2020_m1.ini","rsg_mo020_di10_continuous_2015_2020_m1","profiles\rsg_mo020_di10.set","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"37","rsg_mo020_body25","10","body_only","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\037_rsg_mo020_body25_older_2015_2018_m1.ini","rsg_mo020_body25_older_2015_2018_m1","profiles\rsg_mo020_body25.set","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"38","rsg_mo020_body25","10","body_only","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\038_rsg_mo020_body25_repair_2019_m1.ini","rsg_mo020_body25_repair_2019_m1","profiles\rsg_mo020_body25.set","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
