"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","MomentumLookback","EntryLookback","TargetR","StopRule"
"11","mtsm_m126_e6_r200","4","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e6_r200.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_mtsm_m126_e6_r200_discovery_2019_2020_m1.ini","mtsm_m126_e6_r200_discovery_2019_2020_m1","profiles\mtsm_m126_e6_r200.set","8D5F5899684A6F1BD5D4A7CF32DE3136C57DDECC7B32B77529244F0210755628","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","6","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"12","mtsm_m126_e6_r200","4","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e6_r200.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_mtsm_m126_e6_r200_continuous_2015_2020_m1.ini","mtsm_m126_e6_r200_continuous_2015_2020_m1","profiles\mtsm_m126_e6_r200.set","8D5F5899684A6F1BD5D4A7CF32DE3136C57DDECC7B32B77529244F0210755628","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","6","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"13","mtsm_m126_e20_r200","5","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e20_r200.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_mtsm_m126_e20_r200_older_2015_2018_m1.ini","mtsm_m126_e20_r200_older_2015_2018_m1","profiles\mtsm_m126_e20_r200.set","5068419F5047FA3C94FCBA954D7B5779432F51DA6112FEE93C674DD365E373E7","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","20","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"14","mtsm_m126_e20_r200","5","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e20_r200.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_mtsm_m126_e20_r200_discovery_2019_2020_m1.ini","mtsm_m126_e20_r200_discovery_2019_2020_m1","profiles\mtsm_m126_e20_r200.set","5068419F5047FA3C94FCBA954D7B5779432F51DA6112FEE93C674DD365E373E7","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","20","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"15","mtsm_m126_e20_r200","5","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e20_r200.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_mtsm_m126_e20_r200_continuous_2015_2020_m1.ini","mtsm_m126_e20_r200_continuous_2015_2020_m1","profiles\mtsm_m126_e20_r200.set","5068419F5047FA3C94FCBA954D7B5779432F51DA6112FEE93C674DD365E373E7","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","20","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"16","mtsm_m126_e10_r150","6","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r150.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_mtsm_m126_e10_r150_older_2015_2018_m1.ini","mtsm_m126_e10_r150_older_2015_2018_m1","profiles\mtsm_m126_e10_r150.set","C434682C625B700ACEC7A770A072A06E213A85117469E174060EB664C5B878F8","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","10","1.50","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"17","mtsm_m126_e10_r150","6","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r150.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_mtsm_m126_e10_r150_discovery_2019_2020_m1.ini","mtsm_m126_e10_r150_discovery_2019_2020_m1","profiles\mtsm_m126_e10_r150.set","C434682C625B700ACEC7A770A072A06E213A85117469E174060EB664C5B878F8","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","10","1.50","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"18","mtsm_m126_e10_r150","6","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r150.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_mtsm_m126_e10_r150_continuous_2015_2020_m1.ini","mtsm_m126_e10_r150_continuous_2015_2020_m1","profiles\mtsm_m126_e10_r150.set","C434682C625B700ACEC7A770A072A06E213A85117469E174060EB664C5B878F8","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","10","1.50","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"19","mtsm_m126_e10_r250","7","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r250.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_mtsm_m126_e10_r250_older_2015_2018_m1.ini","mtsm_m126_e10_r250_older_2015_2018_m1","profiles\mtsm_m126_e10_r250.set","ED8CB644D29EECAC4260819E32AE3901CCA7D35E6D49C3787E259E4121FF5BD5","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","10","2.50","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"20","mtsm_m126_e10_r250","7","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r250.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_mtsm_m126_e10_r250_discovery_2019_2020_m1.ini","mtsm_m126_e10_r250_discovery_2019_2020_m1","profiles\mtsm_m126_e10_r250.set","ED8CB644D29EECAC4260819E32AE3901CCA7D35E6D49C3787E259E4121FF5BD5","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","10","2.50","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"21","mtsm_m126_e10_r250","7","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r250.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_mtsm_m126_e10_r250_continuous_2015_2020_m1.ini","mtsm_m126_e10_r250_continuous_2015_2020_m1","profiles\mtsm_m126_e10_r250.set","ED8CB644D29EECAC4260819E32AE3901CCA7D35E6D49C3787E259E4121FF5BD5","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","10","2.50","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
