"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","SourceSha256","IndependentAttempt","DIEdge","BandRiskMultiplier","MaxPositions","StopRule"
"11","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_ri2_m12_r30_discovery_2019_2020_m1.ini","ri2_m12_r30_discovery_2019_2020_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"12","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_ri2_m12_r30_continuous_2015_2020_m1.ini","ri2_m12_r30_continuous_2015_2020_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"13","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2015","2015.01.01","2015.12.31","1","10000","configs\013_ri2_m12_r30_year_2015_m1.ini","ri2_m12_r30_year_2015_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"14","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2016","2016.01.01","2016.12.31","1","10000","configs\014_ri2_m12_r30_year_2016_m1.ini","ri2_m12_r30_year_2016_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"15","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2017","2017.01.01","2017.12.31","1","10000","configs\015_ri2_m12_r30_year_2017_m1.ini","ri2_m12_r30_year_2017_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"16","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2018","2018.01.01","2018.12.31","1","10000","configs\016_ri2_m12_r30_year_2018_m1.ini","ri2_m12_r30_year_2018_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"17","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2019","2019.01.01","2019.12.31","1","10000","configs\017_ri2_m12_r30_year_2019_m1.ini","ri2_m12_r30_year_2019_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"18","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2020","2020.01.01","2020.12.31","1","10000","configs\018_ri2_m12_r30_year_2020_m1.ini","ri2_m12_r30_year_2020_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"19","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_ri2_m12_r40_older_2015_2018_m1.ini","ri2_m12_r40_older_2015_2018_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.40","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"20","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_ri2_m12_r40_discovery_2019_2020_m1.ini","ri2_m12_r40_discovery_2019_2020_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.40","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"21","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_ri2_m12_r40_continuous_2015_2020_m1.ini","ri2_m12_r40_continuous_2015_2020_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.40","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"22","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2015","2015.01.01","2015.12.31","1","10000","configs\022_ri2_m12_r40_year_2015_m1.ini","ri2_m12_r40_year_2015_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.40","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"23","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2016","2016.01.01","2016.12.31","1","10000","configs\023_ri2_m12_r40_year_2016_m1.ini","ri2_m12_r40_year_2016_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.40","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"24","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2017","2017.01.01","2017.12.31","1","10000","configs\024_ri2_m12_r40_year_2017_m1.ini","ri2_m12_r40_year_2017_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.40","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"25","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2018","2018.01.01","2018.12.31","1","10000","configs\025_ri2_m12_r40_year_2018_m1.ini","ri2_m12_r40_year_2018_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.40","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"26","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2019","2019.01.01","2019.12.31","1","10000","configs\026_ri2_m12_r40_year_2019_m1.ini","ri2_m12_r40_year_2019_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.40","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"27","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2020","2020.01.01","2020.12.31","1","10000","configs\027_ri2_m12_r40_year_2020_m1.ini","ri2_m12_r40_year_2020_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.40","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"28","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_ri2_m10_r30_older_2015_2018_m1.ini","ri2_m10_r30_older_2015_2018_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-10","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"29","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_ri2_m10_r30_discovery_2019_2020_m1.ini","ri2_m10_r30_discovery_2019_2020_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-10","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"30","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_ri2_m10_r30_continuous_2015_2020_m1.ini","ri2_m10_r30_continuous_2015_2020_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-10","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"31","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","year_2015","2015.01.01","2015.12.31","1","10000","configs\031_ri2_m10_r30_year_2015_m1.ini","ri2_m10_r30_year_2015_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-10","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"32","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","year_2016","2016.01.01","2016.12.31","1","10000","configs\032_ri2_m10_r30_year_2016_m1.ini","ri2_m10_r30_year_2016_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-10","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"33","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","year_2017","2017.01.01","2017.12.31","1","10000","configs\033_ri2_m10_r30_year_2017_m1.ini","ri2_m10_r30_year_2017_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-10","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"34","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","year_2018","2018.01.01","2018.12.31","1","10000","configs\034_ri2_m10_r30_year_2018_m1.ini","ri2_m10_r30_year_2018_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-10","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"35","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","year_2019","2019.01.01","2019.12.31","1","10000","configs\035_ri2_m10_r30_year_2019_m1.ini","ri2_m10_r30_year_2019_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-10","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"36","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","year_2020","2020.01.01","2020.12.31","1","10000","configs\036_ri2_m10_r30_year_2020_m1.ini","ri2_m10_r30_year_2020_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-10","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
