"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","PriorDayMoveATR","PriorDayBodyPercent","MaximumAsianRangeATR","MinimumAsianDriftATR","EntryHour","SignalBodyPercent","TakeProfitR","StopRule"
"16","odc_priorbody35","4","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody35.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_odc_priorbody35_discovery_2019_2020_m1.ini","odc_priorbody35_discovery_2019_2020_m1","profiles\odc_priorbody35.set","C0C761D74889D70C789B7EC5EE5C8FB04765FB8C92417C5A85BCE789B13F4BEA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","35.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"18","odc_priorbody35","4","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody35.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_odc_priorbody35_continuous_2015_2020_m1.ini","odc_priorbody35_continuous_2015_2020_m1","profiles\odc_priorbody35.set","C0C761D74889D70C789B7EC5EE5C8FB04765FB8C92417C5A85BCE789B13F4BEA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","35.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"19","odc_priorbody55","5","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody55.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_odc_priorbody55_older_2015_2018_m1.ini","odc_priorbody55_older_2015_2018_m1","profiles\odc_priorbody55.set","D9F65B29C1F22F95D209A4E1FE13E4900944A836E8C891AC89A1567486B743A9","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","55.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"21","odc_priorbody55","5","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody55.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_odc_priorbody55_discovery_2019_2020_m1.ini","odc_priorbody55_discovery_2019_2020_m1","profiles\odc_priorbody55.set","D9F65B29C1F22F95D209A4E1FE13E4900944A836E8C891AC89A1567486B743A9","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","55.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"22","odc_priorbody55","5","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody55.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_odc_priorbody55_continuous_2015_2020_m1.ini","odc_priorbody55_continuous_2015_2020_m1","profiles\odc_priorbody55.set","D9F65B29C1F22F95D209A4E1FE13E4900944A836E8C891AC89A1567486B743A9","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","55.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"24","odc_asian045","6","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian045.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_odc_asian045_older_2015_2018_m1.ini","odc_asian045_older_2015_2018_m1","profiles\odc_asian045.set","369D4E7ECC5E2FFD8D4AFF454DDBFD80D9A4891D2BE8CAD362C05938BDA5414F","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.45","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"25","odc_asian045","6","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian045.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_odc_asian045_discovery_2019_2020_m1.ini","odc_asian045_discovery_2019_2020_m1","profiles\odc_asian045.set","369D4E7ECC5E2FFD8D4AFF454DDBFD80D9A4891D2BE8CAD362C05938BDA5414F","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.45","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"27","odc_asian045","6","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian045.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_odc_asian045_continuous_2015_2020_m1.ini","odc_asian045_continuous_2015_2020_m1","profiles\odc_asian045.set","369D4E7ECC5E2FFD8D4AFF454DDBFD80D9A4891D2BE8CAD362C05938BDA5414F","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.45","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"28","odc_asian065","7","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian065.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_odc_asian065_older_2015_2018_m1.ini","odc_asian065_older_2015_2018_m1","profiles\odc_asian065.set","B6A2CE45DB207A20F6F0697DB8EDE9DB0522AF588B765840419809259AF3FC5C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.65","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"30","odc_asian065","7","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian065.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_odc_asian065_discovery_2019_2020_m1.ini","odc_asian065_discovery_2019_2020_m1","profiles\odc_asian065.set","B6A2CE45DB207A20F6F0697DB8EDE9DB0522AF588B765840419809259AF3FC5C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.65","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"31","odc_asian065","7","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian065.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_odc_asian065_continuous_2015_2020_m1.ini","odc_asian065_continuous_2015_2020_m1","profiles\odc_asian065.set","B6A2CE45DB207A20F6F0697DB8EDE9DB0522AF588B765840419809259AF3FC5C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.65","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"33","odc_drift000","8","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_drift000.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_odc_drift000_older_2015_2018_m1.ini","odc_drift000_older_2015_2018_m1","profiles\odc_drift000.set","CF8C265EBF528CBE5E7434B8280C07712D251E5063AF77ABCCA8C6ECDB791532","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","0.00","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"34","odc_drift000","8","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_drift000.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_odc_drift000_discovery_2019_2020_m1.ini","odc_drift000_discovery_2019_2020_m1","profiles\odc_drift000.set","CF8C265EBF528CBE5E7434B8280C07712D251E5063AF77ABCCA8C6ECDB791532","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","0.00","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"36","odc_drift000","8","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_drift000.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_odc_drift000_continuous_2015_2020_m1.ini","odc_drift000_continuous_2015_2020_m1","profiles\odc_drift000.set","CF8C265EBF528CBE5E7434B8280C07712D251E5063AF77ABCCA8C6ECDB791532","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","0.00","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"37","odc_driftminus025","9","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_driftminus025.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_odc_driftminus025_older_2015_2018_m1.ini","odc_driftminus025_older_2015_2018_m1","profiles\odc_driftminus025.set","6AC321FB5AC81006A40E00AE30AACC691DA67A3AF6FCDB7496625AB60A6103AA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.25","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"39","odc_driftminus025","9","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_driftminus025.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_odc_driftminus025_discovery_2019_2020_m1.ini","odc_driftminus025_discovery_2019_2020_m1","profiles\odc_driftminus025.set","6AC321FB5AC81006A40E00AE30AACC691DA67A3AF6FCDB7496625AB60A6103AA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.25","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"40","odc_driftminus025","9","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_driftminus025.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_odc_driftminus025_continuous_2015_2020_m1.ini","odc_driftminus025_continuous_2015_2020_m1","profiles\odc_driftminus025.set","6AC321FB5AC81006A40E00AE30AACC691DA67A3AF6FCDB7496625AB60A6103AA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.25","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"42","odc_entry6","10","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry6.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_odc_entry6_older_2015_2018_m1.ini","odc_entry6_older_2015_2018_m1","profiles\odc_entry6.set","6F355E10AB344A5EB1DB7513436698EFB8BAD29286D5CEE669C5CA4FE5368E67","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","6","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"43","odc_entry6","10","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry6.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_odc_entry6_discovery_2019_2020_m1.ini","odc_entry6_discovery_2019_2020_m1","profiles\odc_entry6.set","6F355E10AB344A5EB1DB7513436698EFB8BAD29286D5CEE669C5CA4FE5368E67","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","6","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"45","odc_entry6","10","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry6.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_odc_entry6_continuous_2015_2020_m1.ini","odc_entry6_continuous_2015_2020_m1","profiles\odc_entry6.set","6F355E10AB344A5EB1DB7513436698EFB8BAD29286D5CEE669C5CA4FE5368E67","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","6","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"46","odc_entry8","11","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry8.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\031_odc_entry8_older_2015_2018_m1.ini","odc_entry8_older_2015_2018_m1","profiles\odc_entry8.set","F3AAB8B61ACF9A85828614AA711E67E88EF4F3B89EB077698C80E63212F602F7","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","8","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"48","odc_entry8","11","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry8.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\032_odc_entry8_discovery_2019_2020_m1.ini","odc_entry8_discovery_2019_2020_m1","profiles\odc_entry8.set","F3AAB8B61ACF9A85828614AA711E67E88EF4F3B89EB077698C80E63212F602F7","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","8","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"49","odc_entry8","11","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry8.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\033_odc_entry8_continuous_2015_2020_m1.ini","odc_entry8_continuous_2015_2020_m1","profiles\odc_entry8.set","F3AAB8B61ACF9A85828614AA711E67E88EF4F3B89EB077698C80E63212F602F7","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","8","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"51","odc_signal25","12","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal25.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\034_odc_signal25_older_2015_2018_m1.ini","odc_signal25_older_2015_2018_m1","profiles\odc_signal25.set","C139854F04C615C1D94568582E4894EBF52187CCE10C961C4588015DB7BC33ED","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","7","25.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"52","odc_signal25","12","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal25.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\035_odc_signal25_discovery_2019_2020_m1.ini","odc_signal25_discovery_2019_2020_m1","profiles\odc_signal25.set","C139854F04C615C1D94568582E4894EBF52187CCE10C961C4588015DB7BC33ED","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","7","25.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"54","odc_signal25","12","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal25.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_odc_signal25_continuous_2015_2020_m1.ini","odc_signal25_continuous_2015_2020_m1","profiles\odc_signal25.set","C139854F04C615C1D94568582E4894EBF52187CCE10C961C4588015DB7BC33ED","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","7","25.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"55","odc_signal45","13","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal45.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\037_odc_signal45_older_2015_2018_m1.ini","odc_signal45_older_2015_2018_m1","profiles\odc_signal45.set","1FFA4732A1CF1128F1918964F2AFD3016507DD07B53D9E8ABB9C11E726BD3A9C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","7","45.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"57","odc_signal45","13","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal45.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\038_odc_signal45_discovery_2019_2020_m1.ini","odc_signal45_discovery_2019_2020_m1","profiles\odc_signal45.set","1FFA4732A1CF1128F1918964F2AFD3016507DD07B53D9E8ABB9C11E726BD3A9C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","7","45.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"58","odc_signal45","13","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal45.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\039_odc_signal45_continuous_2015_2020_m1.ini","odc_signal45_continuous_2015_2020_m1","profiles\odc_signal45.set","1FFA4732A1CF1128F1918964F2AFD3016507DD07B53D9E8ABB9C11E726BD3A9C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","7","45.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
